sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.50017;2.7159869999999998e-06;-3.21998e-07;-3.037986e-06
-0.499096;2.281989e-06;-2.51998e-07;-2.533988e-06
-0.498021;2.0299899999999998e-06;-2.09999e-07;-2.23999e-06
-0.49694699999999997;1.840991e-06;-1.8899899999999998e-07;-2.029991e-06
-0.495872;1.7429919999999999e-06;-1.46999e-07;-1.8899909999999999e-06
-0.49479799999999996;1.616992e-06;-1.3299899999999999e-07;-1.749992e-06
-0.493724;1.522493e-06;-1.1899899999999999e-07;-1.641492e-06
-0.492649;1.445493e-06;-1.08499e-07;-1.5539929999999999e-06
-0.491575;1.371993e-06;-1.04999e-07;-1.476993e-06
-0.4905;1.329994e-06;-8.049964e-08;-1.410493e-06
-0.48942599999999997;1.279244e-06;-7.174968000000001e-08;-1.350994e-06
-0.488351;1.228494e-06;-6.8249696e-08;-1.296744e-06
-0.48727699999999996;1.182119e-06;-6.387471600000001e-08;-1.245994e-06
-0.48620199999999997;1.142744e-06;-5.424976e-08;-1.196994e-06
-0.485128;1.097245e-06;-5.424976e-08;-1.151494e-06
-0.48405299999999996;1.066182e-06;-4.8124784000000006e-08;-1.114307e-06
-0.482979;1.033807e-06;-4.3749808e-08;-1.077557e-06
-0.481904;1.002745e-06;-3.9812324000000003e-08;-1.042557e-06
-0.48083;9.74526e-07;-3.5656092e-08;-1.010182e-06
-0.479755;9.46308e-07;-3.2156106e-08;-9.784639999999999e-07
-0.47868099999999997;9.19839e-07;-2.9093622e-08;-9.48933e-07
-0.477606;8.953389999999999e-07;-2.5593638e-08;-9.20933e-07
-0.47653199999999996;8.714959999999999e-07;-2.2968648000000002e-08;-8.94464e-07
-0.47545699999999996;8.49949e-07;-1.9468664000000003e-08;-8.69418e-07
-0.474383;8.279649999999999e-07;-1.6734301000000003e-08;-8.44699e-07
-0.47330799999999995;8.0773e-07;-1.4109313000000001e-08;-8.2184e-07
-0.472234;7.87934e-07;-1.1921822e-08;-7.99855e-07
-0.471159;7.69449e-07;-8.968710000000001e-09;-7.78418e-07
-0.470085;7.50965e-07;-6.78122e-09;-7.57746e-07
-0.46901;7.33465e-07;-4.593729e-09;-7.38059e-07
-0.46793599999999996;7.16621e-07;-2.734363e-09;-7.19356e-07
-0.466862;7.00762e-07;-4.37498e-10;-7.012e-07
-0.465787;6.84465e-07;1.2031190000000002e-09;-6.83262e-07
-0.464713;6.697e-07;3.171861e-09;-6.66528e-07
-0.463638;6.55481e-07;5.031227e-09;-6.5045e-07
-0.462564;6.41044e-07;6.562471000000001e-09;-6.34481e-07
-0.461489;6.283559999999999e-07;8.640586000000001e-09;-6.19715e-07
-0.46041499999999996;6.14903e-07;1.0062455e-08;-6.04841e-07
-0.45933999999999997;6.02434e-07;1.2140571000000002e-08;-5.90294e-07
-0.458266;5.90403e-07;1.3671815e-08;-5.76731e-07
-0.45719099999999996;5.78372e-07;1.5093683e-08;-5.63278e-07
-0.456117;5.67544e-07;1.6734301000000003e-08;-5.508099999999999e-07
-0.455042;5.5606e-07;1.8046794e-08;-5.38013e-07
-0.453968;5.45013e-07;1.914054e-08;-5.25872e-07
-0.452893;5.35278e-07;2.0890532e-08;-5.14388e-07
-0.45181899999999997;5.25216e-07;2.2203026000000002e-08;-5.03013e-07
-0.450744;5.153719999999999e-07;2.3515520000000003e-08;-4.91857e-07
-0.44966999999999996;5.05857e-07;2.4937388e-08;-4.80919e-07
-0.44859499999999997;4.97216e-07;2.6249884000000003e-08;-4.70966e-07
-0.447521;4.88357e-07;2.7453004000000002e-08;-4.60904e-07
-0.44644599999999995;4.794969999999999e-07;2.8437374000000002e-08;-4.5106e-07
-0.445372;4.71513e-07;2.9749868000000003e-08;-4.41763e-07
-0.444297;4.6243499999999997e-07;3.0187366e-08;-4.3224799999999997e-07
-0.443223;4.55326e-07;3.1827984e-08;-4.23498e-07
-0.442148;4.47341e-07;3.2593606e-08;-4.14748e-07
-0.44107399999999997;4.40451e-07;3.3796724e-08;-4.06654e-07
-0.439999;4.3290399999999997e-07;3.4781096e-08;-3.98123e-07
-0.43892499999999995;4.26123e-07;3.5874840000000004e-08;-3.90248e-07
-0.437851;4.18576e-07;3.6531088e-08;-3.82045e-07
-0.436776;4.12232e-07;3.7406084000000005e-08;-3.7482599999999997e-07
-0.435702;4.05888e-07;3.8390452e-08;-3.6749799999999997e-07
-0.434627;3.99654e-07;3.9265452000000006e-08;-3.60389e-07
-0.43355299999999997;3.93092e-07;3.99217e-08;-3.5317e-07
-0.432478;3.87513e-07;4.1015444e-08;-3.46498e-07
-0.43140399999999995;3.8117e-07;4.1124816e-08;-3.40045e-07
-0.43032899999999996;3.75592e-07;4.2109188000000004e-08;-3.33482e-07
-0.429255;3.70232e-07;4.2984184e-08;-3.27248e-07
-0.42818;3.64654e-07;4.3421684e-08;-3.21232e-07
-0.427106;3.5951399999999997e-07;4.4187304e-08;-3.15326e-07
-0.426031;3.54701e-07;4.4952928e-08;-3.09748e-07
-0.424957;3.5010699999999997e-07;4.5609172000000004e-08;-3.04498e-07
-0.423882;3.44857e-07;4.6265420000000006e-08;-2.98592e-07
-0.42280799999999996;3.40154e-07;4.6702920000000006e-08;-2.93451e-07
-0.42173299999999997;3.36107e-07;4.7687288e-08;-2.8842e-07
-0.420659;3.3173199999999997e-07;4.8234160000000005e-08;-2.83498e-07
-0.41958399999999996;3.27467e-07;4.8781032e-08;-2.78686e-07
-0.41851;3.23201e-07;4.9437284000000006e-08;-2.73764e-07
-0.417435;3.19373e-07;4.9984152e-08;-2.69389e-07
-0.416361;3.15436e-07;5.0421652e-08;-2.65014e-07
-0.415286;3.11608e-07;5.0968524000000005e-08;-2.60639e-07
-0.41421199999999997;3.07779e-07;5.1515396e-08;-2.56264e-07
-0.413137;3.04279e-07;5.2062268000000006e-08;-2.52217e-07
-0.41206299999999996;3.00123e-07;5.239039200000001e-08;-2.47733e-07
-0.410989;2.97279e-07;5.3265388000000005e-08;-2.44014e-07
