Applied potential [V],WE current [A],WE current [A].1,WE current [A].2,WE current filtered [A] (15 Hz),WE current filtered [A] (5 Hz),WE current filtered [A] (2 Hz)
-0.50017,2.29905e-07,-1.82382e-06,-2.053725e-06,2.299132906868262e-07,2.3194889430371578e-07,2.4963810061560083e-07
-0.499096,1.493837e-06,-2.457645e-06,-3.951482e-06,2.2635759379531794e-06,9.894573895176715e-07,4.86995005488044e-07
-0.498021,4.396417e-06,-2.356364e-06,-6.752782e-06,3.843313730197657e-06,1.7132327062508872e-06,7.224009591304435e-07
-0.4969469999999999,5.044352e-06,-7.997459999999999e-07,-5.844099e-06,4.701358432032945e-06,2.37270241177955e-06,9.542516762524228e-07
-0.495872,4.647979e-06,-4.94372e-07,-5.142352e-06,4.847727822947666e-06,2.942389800785997e-06,1.1809865230971112e-06
-0.4947979999999999,4.267356e-06,-3.68373e-07,-4.635729e-06,4.522383114781385e-06,3.403740514248963e-06,1.4011092669618476e-06
-0.493724,3.954982e-06,-3.44748e-07,-4.29973e-06,4.043488288023111e-06,3.7462303541426382e-06,1.6132075522561605e-06
-0.492649,3.724858e-06,-2.84373e-07,-4.009232e-06,3.648817756133898e-06,3.967679108095525e-06,1.8159707386399438e-06
-0.491575,3.552484e-06,-2.10874e-07,-3.763358e-06,3.4206193837384137e-06,4.073793686789649e-06,2.008205788151687e-06
-0.4905,3.374859e-06,-1.46124e-07,-3.520984e-06,3.31539446371111e-06,4.07704888408371e-06,2.188850945717287e-06
-0.4894259999999999,3.25586e-06,-1.25999e-07,-3.381859e-06,3.249004662574981e-06,3.995075605300629e-06,2.3569870181874575e-06
-0.488351,3.037986e-06,-1.70624e-07,-3.20861e-06,3.167597529923317e-06,3.848760172941106e-06,2.5118461186773215e-06
-0.4872769999999999,3.072111e-06,-2.8437374000000002e-08,-3.100548e-06,3.067458940246425e-06,3.6602647410799902e-06,2.652817803502848e-06
-0.4862019999999999,2.981549e-06,-1.7937420000000002e-08,-2.999486e-06,2.9731570363578326e-06,3.4511616821880432e-06,2.7794525868475822e-06
-0.485128,2.922924e-06,-1.2687444e-08,-2.935611e-06,2.906364460734153e-06,3.2408398132316155e-06,2.8914628722228537e-06
-0.4840529999999999,2.886612e-06,9.624957e-09,-2.876987e-06,2.8701980111188473e-06,3.0452941533255077e-06,2.988721388888825e-06
-0.482979,2.853799e-06,2.9749868000000006e-08,-2.824049e-06,2.853000980132403e-06,2.8763601617864022e-06,3.0712572650342e-06
-0.481904,2.838049e-06,6.081222800000001e-08,-2.777237e-06,2.840861582911635e-06,2.741403937101567e-06,3.139249907247559e-06
-0.48083,2.822299e-06,9.3187088e-08,-2.729112e-06,2.82685941661424e-06,2.6434362896651523e-06,3.193020887422695e-06
-0.479755,2.7943e-06,1.18561e-07,-2.675738e-06,2.8121761171315065e-06,2.5815841485068917e-06,3.2330240636566347e-06
-0.4786809999999999,2.816175e-06,1.55311e-07,-2.660863e-06,2.8015385470614352e-06,2.551829223873086e-06,3.259834180993378e-06
-0.477606,2.79955e-06,1.80686e-07,-2.618863e-06,2.7981059103690273e-06,2.5479117276399436e-06,3.274134211224352e-06
-0.4765319999999999,2.799549e-06,2.04311e-07,-2.595238e-06,2.8010654770553788e-06,2.562295668812733e-06,3.2767016986557826e-06
-0.4754569999999999,2.809612e-06,2.32748e-07,-2.576863e-06,2.806020805109594e-06,2.5871003793450312e-06,3.2683943811422085e-06
-0.474383,2.80305e-06,2.51123e-07,-2.551926e-06,2.8065392737973797e-06,2.6149185128882063e-06,3.2501353531645445e-06
-0.4733079999999999,2.79255e-06,2.55498e-07,-2.537051e-06,2.7955267124157272e-06,2.6394615102760894e-06,3.2228980307344575e-06
-0.472234,2.771112e-06,2.69936e-07,-2.501176e-06,2.766247793803233e-06,2.6559970555976013e-06,3.1876911668866173e-06
-0.471159,2.712925e-06,2.70811e-07,-2.442114e-06,2.7135448196967405e-06,2.6615670389415895e-06,3.145544151934122e-06
-0.470085,2.628925e-06,2.85686e-07,-2.343239e-06,2.6357104902843745e-06,2.6549968720198024e-06,3.097492814963421e-06
-0.46901,2.546676e-06,3.14123e-07,-2.232552e-06,2.5368264013874138e-06,2.6367258359765882e-06,3.0445659226779096e-06
-0.4679359999999999,2.420676e-06,3.7056e-07,-2.050115e-06,2.428611494124953e-06,2.6085020232316334e-06,2.9877725491014e-06
-0.466862,2.316114e-06,4.5806e-07,-1.858054e-06,2.3302458386749038e-06,2.5729933952332365e-06,2.9280904652617527e-06
-0.465787,2.311739e-06,4.82997e-07,-1.828741e-06,2.2646091927454527e-06,2.533368129174336e-06,2.8664556722416192e-06
-0.464713,2.226865e-06,4.76872e-07,-1.749992e-06,2.2504830632762297e-06,2.49289305186168e-06,2.8037531743831167e-06
-0.463638,2.295114e-06,4.4581e-07,-1.849304e-06,2.2928715562022586e-06,2.4545895332288838e-06,2.7408090624745097e-06
-0.462564,2.342364e-06,3.7756e-07,-1.964803e-06,2.3766558930495294e-06,2.4209733243011986e-06,2.6783839499675083e-06
-0.461489,2.469676e-06,4.45373e-07,-2.024303e-06,2.4693982353917143e-06,2.3938904802319505e-06,2.617167779225669e-06
-0.4604149999999999,2.557176e-06,5.00497e-07,-2.056678e-06,2.5347486621392706e-06,2.374447836163007e-06,2.557775990026999e-06
-0.4593399999999999,2.590425e-06,5.1581e-07,-2.074615e-06,2.5502156932409138e-06,2.363025401930607e-06,2.5007470195295904e-06
-0.458266,2.508613e-06,4.57185e-07,-2.051428e-06,2.518181195286464e-06,2.359350831719838e-06,2.446541082067098e-06
-0.4571909999999999,2.425926e-06,3.88498e-07,-2.037428e-06,2.462407548878707e-06,2.3626132866923615e-06,2.3955401587679607e-06
-0.456117,2.394426e-06,3.90685e-07,-2.00374e-06,2.412420086834468e-06,2.371595124725366e-06,2.348049111262927e-06
-0.455042,2.398801e-06,4.1256e-07,-1.986241e-06,2.386803514745363e-06,2.3848038167658075e-06,2.3042978207273445e-06
-0.453968,2.411489e-06,4.5806e-07,-1.953428e-06,2.3862208367178692e-06,2.400591918181189e-06,2.264444243193435e-06
-0.452893,2.399239e-06,4.9131e-07,-1.907928e-06,2.3985918127351354e-06,2.417258559060238e-06,2.2285782644227872e-06
