Applied potential [V],WE current [A],WE current [A].1,WE current [A].2,WE current filtered [A] (3 Hz),WE current filtered [A] (2 Hz),WE current filtered [A] (1 Hz)
-0.50017,2.91154e-07,-1.767273e-06,-2.058428e-06,3.052908462045743e-07,3.297751274431323e-07,2.625527616973301e-07
-0.499096,1.912303e-06,-2.043553e-06,-3.955857e-06,6.206494785414567e-07,5.295024976697925e-07,3.554308523298522e-07
-0.498021,3.907295e-06,-2.057553e-06,-5.964848e-06,9.316205914660176e-07,7.270861865569302e-07,4.477821343512181e-07
-0.4969469999999999,4.28923e-06,-1.051745e-06,-5.340976e-06,1.2336966712055324e-06,9.212482164221036e-07,5.394564431504182e-07
-0.495872,3.747608e-06,-9.3012e-07,-4.677729e-06,1.5225983811421637e-06,1.1107483810115646e-06,6.303053753683774e-07
-0.4947979999999999,3.25411e-06,-9.23995e-07,-4.178106e-06,1.7943940165777968e-06,1.2944002492229533e-06,7.201827706879342e-07
-0.493724,2.929487e-06,-8.942459999999999e-07,-3.823733e-06,2.0456040645859184e-06,1.4710861932837778e-06,8.089451838732711e-07
-0.492649,2.760612e-06,-7.74371e-07,-3.534984e-06,2.2732871419905895e-06,1.639771167844566e-06,8.964523447757633e-07
-0.491575,2.686238e-06,-6.37872e-07,-3.32411e-06,2.4751047640394833e-06,1.7995150041132783e-06,9.825676041201768e-07
-0.4905,2.647738e-06,-4.87372e-07,-3.13511e-06,2.6493635991241807e-06,1.9494830249264173e-06,1.067158362997521e-06
-0.4894259999999999,2.632863e-06,-3.47373e-07,-2.980236e-06,2.7950349996914948e-06,2.088954830484815e-06,1.1500964841161288e-06
-0.488351,2.563738e-06,-2.64248e-07,-2.827987e-06,2.911752604168143e-06,2.2173311487661267e-06,1.231258682998513e-06
-0.4872769999999999,2.544488e-06,-1.87249e-07,-2.731737e-06,2.999789642252565e-06,2.3341386881202367e-06,1.3105268974563147e-06
-0.4862019999999999,2.521738e-06,-1.19874e-07,-2.641613e-06,3.0600182285366953e-06,2.439032971304466e-06,1.3877886338275428e-06
-0.485128,2.475364e-06,-7.262468000000002e-08,-2.547988e-06,3.093853393877422e-06,2.5317991694933373e-06,1.4629372886177267e-06
-0.4840529999999999,2.765862e-06,-1.41749e-07,-2.907612e-06,3.103184888337294e-06,2.6123509910601753e-06,1.5358724443481803e-06
-0.482979,2.769362e-06,-7.6124664e-08,-2.845487e-06,3.0902999108562e-06,2.6807277127949927e-06,1.6065001385789846e-06
-0.481904,2.765425e-06,-6.562471000000001e-09,-2.771987e-06,3.057799902494727e-06,2.737089470451192e-06,1.674733105240331e-06
-0.48083,2.750112e-06,3.3249852e-08,-2.716863e-06,3.0085144087709802e-06,2.781710950957102e-06,1.7404909875723888e-06
-0.479755,2.732175e-06,7.3062176e-08,-2.659113e-06,2.9454147988477833e-06,2.8149736501960797e-06,1.8037005221397706e-06
-0.4786809999999999,2.707675e-06,1.00187e-07,-2.607488e-06,2.871530349042151e-06,2.837356877882956e-06,1.8642956935508635e-06
-0.477606,2.671363e-06,1.34311e-07,-2.537051e-06,2.7898688757632076e-06,2.8494277046954436e-06,1.9222178596737263e-06
-0.4765319999999999,2.6508e-06,1.57499e-07,-2.493301e-06,2.7033437558374615e-06,2.8518300564390842e-06,1.9774158472978556e-06
-0.4754569999999999,2.597425e-06,1.76311e-07,-2.421114e-06,2.6147088149054267e-06,2.845273165660686e-06,2.0298460183439846e-06
-0.474383,2.523488e-06,1.70186e-07,-2.353302e-06,2.526502209286599e-06,2.8305195928548555e-06,2.0794723068712575e-06
-0.4733079999999999,2.431176e-06,1.74561e-07,-2.256614e-06,2.4410000828549088e-06,2.808373027355188e-06,2.1262662272718525e-06
-0.472234,2.337114e-06,1.56186e-07,-2.180927e-06,2.360180454771363e-06,2.779666072334157e-06,2.1702068541766615e-06
-0.471159,2.229927e-06,1.37811e-07,-2.092115e-06,2.2856974906558843e-06,2.74524820926592e-06,2.21128077472136e-06
-0.470085,2.131053e-06,1.10687e-07,-2.020365e-06,2.2188660313884143e-06,2.705974124994737e-06,2.2494820139395794e-06
-0.46901,2.01949e-06,1.32124e-07,-1.887366e-06,2.1606560017048075e-06,2.662692569514043e-06,2.284811934158514e-06
-0.4679359999999999,2.006803e-06,1.93374e-07,-1.813429e-06,2.1116960965712977e-06,2.6162358950744046e-06,2.317279109371889e-06
-0.466862,2.069803e-06,2.14374e-07,-1.855429e-06,2.0722859492217797e-06,2.5674104077434247e-06,2.3468991756555993e-06
-0.465787,2.338864e-06,2.12624e-07,-2.12624e-06,2.0424158241577975e-06,2.516987641537561e-06,2.3736946587724933e-06
-0.464713,2.22774e-06,2.93561e-07,-1.934178e-06,2.0217927556867213e-06,2.4656966432781188e-06,2.3976947801848125e-06
-0.463638,2.06849e-06,3.52623e-07,-1.715867e-06,2.0098719716232393e-06,2.4142173339423485e-06,2.4189352427558333e-06
-0.462564,2.07374e-06,3.5831e-07,-1.715429e-06,2.0058924039924564e-06,2.363174989996724e-06,2.437457997476581e-06
-0.461489,2.159052e-06,3.98998e-07,-1.760054e-06,2.0089150913116668e-06,2.313135866446995e-06,2.4533109925992084e-06
-0.4604149999999999,2.149427e-06,3.42998e-07,-1.806429e-06,2.0178633140673128e-06,2.2646039624720918e-06,2.466547906596027e-06
-0.4593399999999999,2.110928e-06,3.12811e-07,-1.798117e-06,2.031563368583174e-06,2.218018910824734e-06,2.4772278663924294e-06
-0.458266,2.06674e-06,2.62498e-07,-1.804241e-06,2.0487849671167702e-06,2.1737549539461775e-06,2.4854151523433214e-06
-0.4571909999999999,1.991053e-06,2.20499e-07,-1.770554e-06,2.068280346983282e-06,2.1321209531889633e-06,2.4911788914364635e-06
-0.456117,2.001115e-06,2.42811e-07,-1.758304e-06,2.0888212726125174e-06,2.093361362861758e-06,2.4945927402126617e-06
-0.455042,2.041803e-06,2.97061e-07,-1.744742e-06,2.1092332164414006e-06,2.057658088156735e-06,2.49573455889233e-06
-0.453968,2.107865e-06,3.65748e-07,-1.742117e-06,2.128426104051251e-06,2.025133135518767e-06,2.494686078190975e-06
-0.452893,2.16299e-06,4.2656e-07,-1.736429e-06,2.1454211051494183e-06,1.9958519557776526e-06,2.491532560293014e-06
-0.4518189999999999,2.202802e-06,4.69435e-07,-1.733367e-06,2.15937304634356e-06,1.96982737448054e-06,2.48636245543445e-06
-0.450744,2.202365e-06,4.99622e-07,-1.702742e-06,2.169588116812735e-06,1.947024000385229e-06,2.4792670555207547e-06
-0.4496699999999999,2.223365e-06,5.2281e-07,-1.700554e-06,2.1755366363819565e-06,1.927363002001795e-06,2.4703401461772192e-06
-0.4485949999999999,2.22074e-06,5.39435e-07,-1.681305e-06,2.1768607584195875e-06,1.9107271433253827e-06,2.4596776585954197e-06
-0.447521,2.222052e-06,5.66997e-07,-1.655055e-06,2.1733770872285916e-06,1.896965973343053e-06,2.4473773225016736e-06
-0.4464459999999999,2.20674e-06,5.73997e-07,-1.632742e-06,2.1650742998656692e-06,1.8859010693195557e-06,2.433538321531647e-06
-0.445372,2.200615e-06,5.84497e-07,-1.616117e-06,2.1521059735594116e-06,1.877331241023642e-06,2.4182609522499514e-06
-0.444297,2.18749e-06,6.01559e-07,-1.58593e-06,2.1347789297097175e-06,1.8710376116696267e-06,2.40164628800487e-06
-0.443223,2.16649e-06,5.97184e-07,-1.569305e-06,2.1135375112651425e-06,1.8667885011190792e-06,2.383795848756493e-06
-0.442148,2.136303e-06,5.92372e-07,-1.54393e-06,2.088944309434283e-06,1.864344047503669e-06,2.364811277961774e-06
-0.4410739999999999,2.117928e-06,5.93684e-07,-1.524243e-06,2.061657945461181e-06,1.8634605145767292e-06,2.3447940275425102e-06
-0.439999,2.085115e-06,5.893089999999999e-07,-1.495805e-06,2.032408590765031e-06,1.8638942434647467e-06,2.3238450519022855e-06
-0.4389249999999999,2.05274e-06,5.88434e-07,-1.464306e-06,2.0019719712025918e-06,1.8654052187660075e-06,2.302064511896142e-06
-0.437851,1.992366e-06,5.70059e-07,-1.422306e-06,1.971142645582021e-06,1.8677602298421612e-06,2.279551489592413e-06
-0.436776,1.921928e-06,5.48622e-07,-1.373306e-06,1.94070737184032e-06,1.8707356184000655e-06,2.256403714599957e-06
-0.435702,1.807741e-06,4.95685e-07,-1.312056e-06,1.911419373576555e-06,1.8741196128230574e-06,2.2327173026662178e-06
-0.434627,1.654617e-06,4.24373e-07,-1.230244e-06,1.8839742923554252e-06,1.8777142579743636e-06,2.2085865071823406e-06
-0.4335529999999999,1.583742e-06,3.74498e-07,-1.209244e-06,1.8589885557486704e-06,1.8813369561988428e-06,2.184103484161247e-06
-0.432478,1.720679e-06,3.4606e-07,-1.374618e-06,1.8369808077035044e-06,1.8848216408941795e-06,2.1593580711834128e-06
