e
M0002
Pda7F85E36u;ba826E114p,14,208;ba7FA7222p,14,208;ba7D3910Dp,14,208
Pda7F86268u;ba8252B95p,14,208;ba7FBBA42p,14,208;ba7D68EADp,14,208
Pda7F8669Bu;ba8241A25p,14,208;ba7FC5E52p,14,208;ba7D8442Cp,14,208
Pda7F86ACDu;ba82308B5p,14,207;ba7FCCBB1p,14,207;ba7D9C2FCp,10,207
Pda7F86F00u;ba821C096p,14,207;ba7FD1DB9p,14,207;ba7DB5D23p,10,207
Pda7F87332u;ba820266Ep,14,207;ba7FD3911p,14,207;ba7DD12A3p,10,207
Pda7F87764u;ba81F74B2p,14,206;ba7FD98C5p,14,206;ba7DE2412p,10,206
Pda7F87B97u;ba81E6343p,14,206;ba7FDDD21p,14,206;ba7DF79DEp,10,206
Pda7F87FC9u;ba81D1B23p,14,206;ba7FDC1C9p,14,206;ba7E0A6A6p,10,206
Pda7F883FCu;ba81BE785p,14,205;ba7FE0625p,14,205;ba7E21E9Fp,10,205
Pda7F8882Eu;ba81B3C9Fp,14,205;ba7FE217Dp,14,205;ba7E2E4DDp,10,205
Pda7F88C61u;ba81AA63Cp,14,205;ba7FE65D9p,14,205;ba7E3BF9Dp,10,205
Pda7F89093u;ba819B024p,14,204;ba2A0CEC8f,14,204;ba7E4EFCFp,10,204
Pda7F894C6u;ba818E310p,14,204;ba318F860f,14,204;ba7E5DBA6p,10,204
Pda7F898F8u;ba81823A8p,14,204;ba3ABD5D8f,14,204;ba7E6C0A7p,10,204
Pda7F89D2Bu;ba817628Bp,14,203;ba3F54498f,14,203;ba7E79491p,10,203
Pda7F8A15Du;ba816B43Ap,14,203;ba452BA44f,14,203;ba7E85ACEp,10,203
Pda7F8A590u;ba816027Fp,14,203;ba4A982F8f,14,203;ba7E922C2p,10,203
Pda7F8A9C2u;ba81561DAp,10,202;ba506F8A8f,10,202;ba7E9DB53p,10,202
Pda7F8ADF5u;ba814C210p,14,202;ba553BDE4f,14,202;ba7EA8EC5p,10,202
Pda7F8B227u;ba8142C87p,14,202;ba59D2CA0f,14,202;ba7EB371Ap,10,202
Pda7F8B65Au;ba813998Ep,14,202;ba5DFEE64f,14,202;ba7EBDB2Ap,10,202
Pda7F8BA8Cu;ba8130E46p,14,202;ba61F59ACf,14,202;ba7EC76AEp,10,202
Pda7F8BEBFu;ba8128AAEp,14,202;ba66571EEf,14,202;ba7ED0C37p,10,202
Pda7F8C2F1u;ba81207F2p,14,202;ba6A186B8f,14,202;ba7ED9E56p,10,202
Pda7F8C724u;ba8118CE6p,14,202;ba6DA4506f,14,202;ba7EE27E8p,10,202
Pda7F8CB56u;ba811146Ap,14,202;ba7130354f,14,202;ba7EEAEEAp,10,202
Pda7F8CF89u;ba810A10Fp,14,202;ba74514A6f,14,202;ba7EF2F17p,10,202
Pda7F8D3BBu;ba81032D4p,14,202;ba773CF7Df,14,202;ba7EFA948p,10,202
Pda7F8D7EEu;ba80FC72Ap,14,202;ba7A5E0D0f,14,202;ba7F021C4p,10,202
Pda7F8DC20u;ba80F5D35p,14,202;ba7CDEEADf,14,202;ba7F095FAp,10,202
Pda7F8E052u;ba80EFAF1p,14,202;ba7FCA983f,14,202;ba7F10434p,10,202
Pda7F8E485u;ba80E96F7p,14,202;ba81E0A65f,14,202;ba7F170B9p,10,202
Pda7F8E8B7u;ba80E381Ep,14,202;ba842C1C4f,14,202;ba7F1D8F9p,10,202
Pda7F8ECEAu;ba80DDF40p,14,202;ba86ACFA1f,14,202;ba7F23C18p,10,202
Pda7F8F11Cu;ba80D8A3Bp,14,201;ba897DF39f,14,201;ba7F29CA6p,10,201
Pda7F8F54Fu;ba80D367Dp,14,201;ba8BAEB5Af,14,201;ba7F2F95Cp,10,201
Pda7F8F981u;ba80CE408p,14,201;ba8DAA0FDf,14,201;ba7F353F0p,10,201
Pda7F8FDB4u;ba80C94FEp,14,201;ba8FC01E0f,14,201;ba7F3AB86p,10,201
Pda7F901E6u;ba80C495Fp,14,201;ba916B5C8f,14,201;ba7F3FDFBp,10,201
Pda7F90619u;ba80C0050p,14,201;ba93B6D26f,14,201;ba7F45070p,10,201
Pda7F90A4Bu;ba80BB9D1p,14,201;ba95B22CCf,14,201;ba7F49F0Dp,10,201
Pda7F90E7Eu;ba80B7508p,10,201;ba9728036f,10,201;ba7F4E9D2p,10,201
Pda7F912B0u;ba80B3186p,10,201;ba98B88E0f,10,201;ba7F533BBp,10,201
Pda7F916E3u;ba80AF095p,10,201;ba9A63CC8f,10,201;ba7F57B82p,10,201
Pda7F91B15u;ba80AB3EAp,10,201;ba9C0F0B0f,10,201;ba7F5BF03p,10,201
Pda7F91F48u;ba80A75F7p,10,201;ba9D4F7A0f,10,201;ba7F60217p,10,201
Pda7F9237Au;ba80A39B9p,10,201;ba9E8FE8Cf,10,201;ba7F64376p,10,201
Pda7F927ADu;ba80A0154p,10,201;ba9FEB0BAf,10,201;ba7F68169p,10,201
Pda7F92BDFu;ba809CA36p,10,201;baA1462E4f,10,201;ba7F6BE14p,10,201
Pda7F93012u;ba809953Cp,10,201;baA26BE94f,10,201;ba7F6F7C2p,10,201
Pda7F93444u;ba8095EF9p,10,201;baA35C3C8f,10,201;ba7F731DDp,10,201
Pda7F93877u;ba8092DD7p,10,201;baA481F78f,10,201;ba7F767B2p,10,201
Pda7F93CA9u;ba808FDFDp,10,201;baA5C2664f,10,201;ba7F79CACp,10,201
Pda7F940DCu;ba808CDB6p,10,201;baA69805Cf,10,201;ba7F7D05Ep,10,201
Pda7F9450Eu;ba8089F92p,10,201;baA788590f,10,201;ba7F8025Bp,10,201
Pda7F94941u;ba8087100p,10,201;baA85DF80f,10,201;ba7F83458p,10,201
Pda7F94D73u;ba8084721p,10,201;baA94E4B4f,10,201;ba7F8620Fp,10,201
Pda7F951A5u;ba8081DB0p,10,201;baAA09368f,10,201;ba7F88E7Ep,10,201
Pda7F955D8u;ba807F4ACp,10,201;baAB143DCf,10,201;ba7F8BBC8p,10,201
Pda7F95A0Au;ba807CC83p,10,201;baABE9DD0f,10,201;ba7F8E75Cp,10,201
Pda7F95E3Du;ba807A7C4p,10,201;baAC54AC8f,10,201;ba7F90DD0p,10,201
Pda7F9626Fu;ba80780E3p,10,201;baAD2A4BCf,10,201;ba7F9381Cp,10,201
Pda7F966A2u;ba8075C92p,10,201;baADAFCF4f,10,201;ba7F95E90p,10,201
Pda7F96AD4u;ba80739F7p,10,201;baAE6ABACf,10,201;ba7F98429p,10,201
Pda7F96F07u;ba8071837p,10,201;baAF405A0f,10,201;ba7F9A954p,10,201
Pda7F97339u;ba806F676p,10,201;baAF75C1Cf,10,201;ba7F9CBEFp,10,201
Pda7F9776Cu;ba806D746p,10,201;baB030AD0f,10,201;ba7F9EE1Dp,10,201
Pda7F97B9Eu;ba806B883p,10,201;baB0B6308f,10,201;ba7FA0F03p,10,201
Pda7F97FD1u;ba8069878p,10,201;baB0D0E4Cf,10,201;ba7FA2F7Cp,10,201
Pda7F98403u;ba8067E68p,10,201;baB1DBEB8f,10,201;ba7FA4DD1p,10,201
Pda7F98836u;ba80662A2p,10,201;baB2616F0f,10,201;ba7FA6BB9p,10,201
Pda7F98C68u;ba80646DDp,10,201;baB2CC3ECf,10,201;ba7FA8934p,10,201
Pda7F9909Bu;ba8062CCDp,10,201;baB3872A4f,10,201;ba7FAA642p,10,201
