sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.50017;3.4579839999999997e-06;-5.73997e-07;-4.031981e-06
-0.499096;2.967986e-06;-4.33998e-07;-3.4019839999999998e-06
-0.498021;2.673988e-06;-3.49998e-07;-3.023986e-06
-0.49694699999999997;2.4499889999999997e-06;-3.00998e-07;-2.750987e-06
-0.495872;2.274989e-06;-2.72998e-07;-2.547988e-06
-0.49479799999999996;2.14199e-06;-2.3799799999999998e-07;-2.379989e-06
-0.493724;2.0124909999999998e-06;-2.20499e-07;-2.2329899999999998e-06
-0.492649;1.917991e-06;-1.99499e-07;-2.1174899999999998e-06
-0.491575;1.819991e-06;-1.95999e-07;-2.01599e-06
-0.4905;1.725492e-06;-1.8549899999999999e-07;-1.910991e-06
-0.48942599999999997;1.6432419999999999e-06;-1.69749e-07;-1.812991e-06
-0.488351;1.5819929999999999e-06;-1.53999e-07;-1.735992e-06
-0.48727699999999996;1.530368e-06;-1.45249e-07;-1.675617e-06
-0.48620199999999997;1.471743e-06;-1.36499e-07;-1.608242e-06
-0.485128;1.416618e-06;-1.27749e-07;-1.544368e-06
-0.48405299999999996;1.367618e-06;-1.1899899999999999e-07;-1.486618e-06
-0.482979;1.319494e-06;-1.12436e-07;-1.431931e-06
-0.481904;1.273994e-06;-1.06749e-07;-1.3807429999999999e-06
-0.48083;1.232431e-06;-1.00187e-07;-1.332619e-06
-0.479755;1.192182e-06;-9.493708000000001e-08;-1.287119e-06
-0.47868099999999997;1.154557e-06;-8.9687096e-08;-1.244244e-06
-0.477606;1.11912e-06;-8.4437128e-08;-1.2035569999999999e-06
-0.47653199999999996;1.084557e-06;-7.962464800000001e-08;-1.164182e-06
-0.47545699999999996;1.0515259999999999e-06;-7.546841600000001e-08;-1.126995e-06
-0.474383;1.019807e-06;-7.1530936e-08;-1.091338e-06
-0.47330799999999995;9.90495e-07;-6.7374704e-08;-1.0578699999999999e-06
-0.472234;9.61839e-07;-6.387471600000001e-08;-1.025714e-06
-0.471159;9.3362e-07;-6.059348e-08;-9.94214e-07
-0.470085;9.07808e-07;-5.6874748000000004e-08;-9.64683e-07
-0.46901;8.83089e-07;-5.337476e-08;-9.36464e-07
-0.46793599999999996;8.57714e-07;-5.0749776e-08;-9.08464e-07
-0.466862;8.3409e-07;-4.7906036000000004e-08;-8.81996e-07
-0.465787;8.11996e-07;-4.5062300000000006e-08;-8.57058e-07
-0.464713;7.89902e-07;-4.265606e-08;-8.32558e-07
-0.463638;7.69121e-07;-4.024982e-08;-8.09371e-07
-0.462564;7.49762e-07;-3.7296708000000006e-08;-7.87059e-07
-0.461489;7.30402e-07;-3.4999844000000006e-08;-7.65402e-07
-0.46041499999999996;7.11262e-07;-3.292173e-08;-7.44184e-07
-0.45933999999999997;6.93215e-07;-3.0952988e-08;-7.24168e-07
-0.458266;6.76153e-07;-2.8546748000000003e-08;-7.04699e-07
-0.45719099999999996;6.59965e-07;-2.6578006000000003e-08;-6.86543e-07
-0.456117;6.430119999999999e-07;-2.5156138e-08;-6.68168e-07
-0.455042;6.27372e-07;-2.3296772e-08;-6.50668e-07
-0.453968;6.12716e-07;-2.1218656000000002e-08;-6.33934e-07
-0.452893;5.98169e-07;-1.9468664000000003e-08;-6.17637e-07
-0.45181899999999997;5.83841e-07;-1.8046794e-08;-6.01887e-07
-0.450744;5.706059999999999e-07;-1.6078053e-08;-5.86684e-07
-0.44966999999999996;5.57481e-07;-1.4546811e-08;-5.72028e-07
-0.44859499999999997;5.44028e-07;-1.3453065e-08;-5.57481e-07
-0.447521;5.31778e-07;-1.1812448e-08;-5.43591e-07
-0.44644599999999995;5.20075e-07;-1.0499954000000002e-08;-5.30575e-07
-0.445372;5.08263e-07;-9.296834e-09;-5.1756e-07
-0.444297;4.97107e-07;-7.984339000000001e-09;-5.05091e-07
-0.443223;4.85841e-07;-7.109343e-09;-4.9295e-07
-0.442148;4.7556e-07;-5.796849e-09;-4.81357e-07
-0.44107399999999997;4.6527899999999997e-07;-4.593729e-09;-4.69872e-07
-0.439999;4.5521599999999996e-07;-3.718733e-09;-4.5893499999999997e-07
-0.43892499999999995;4.46029e-07;-2.5156130000000003e-09;-4.4854399999999997e-07
-0.437851;4.3640399999999997e-07;-1.6406170000000001e-09;-4.38044e-07
-0.436776;4.27435e-07;-6.562470000000001e-10;-4.28091e-07
-0.435702;4.18795e-07;0.0;-4.18795e-07
-0.434627;4.10154e-07;8.74996e-10;-4.09279e-07
-0.43355299999999997;4.01732e-07;1.6406170000000001e-09;-4.00091e-07
-0.432478;3.93857e-07;2.8437370000000002e-09;-3.91013e-07
-0.43140399999999995;3.86201e-07;3.281235e-09;-3.8292e-07
-0.43032899999999996;3.78763e-07;4.0468570000000005e-09;-3.74717e-07
-0.429255;3.71217e-07;4.4843550000000005e-09;-3.66732e-07
-0.42818;3.64654e-07;5.468726e-09;-3.59185e-07
-0.427106;3.5743499999999997e-07;5.906224e-09;-3.51529e-07
-0.426031;3.51201e-07;6.562471000000001e-09;-3.4463899999999997e-07
-0.424957;3.45185e-07;7.546841e-09;-3.3763899999999997e-07
-0.423882;3.38842e-07;8.093714000000001e-09;-3.30748e-07
-0.42280799999999996;3.32717e-07;8.640586000000001e-09;-3.2407599999999997e-07
-0.42173299999999997;3.27029e-07;9.296834e-09;-3.17732e-07
-0.420659;3.21342e-07;9.734332000000001e-09;-3.11607e-07
-0.41958399999999996;3.16201e-07;1.0828077e-08;-3.05373e-07
-0.41851;3.10733e-07;1.1046826e-08;-2.99686e-07
-0.417435;3.05811e-07;1.1593698e-08;-2.94217e-07
-0.416361;3.00779e-07;1.2140571000000002e-08;-2.88639e-07
-0.415286;2.95748e-07;1.2359321000000001e-08;-2.8338899999999997e-07
-0.41421199999999997;2.91154e-07;1.2906192000000002e-08;-2.78248e-07
-0.413137;2.8667e-07;1.3453065e-08;-2.73217e-07
-0.41206299999999996;2.81967e-07;1.3781188000000001e-08;-2.68186e-07
-0.410989;2.7792e-07;1.4109313000000001e-08;-2.63811e-07
-0.409914;2.73764e-07;1.4765559000000001e-08;-2.58998e-07
-0.40884;2.69717e-07;1.4874934000000001e-08;-2.5484199999999997e-07
-0.407765;2.65451e-07;1.5093683e-08;-2.5035799999999997e-07
-0.40669099999999997;2.61951e-07;1.5640556e-08;-2.46311e-07
-0.405616;2.5801399999999997e-07;1.5968679000000002e-08;-2.42045e-07
-0.40454199999999996;2.54405e-07;1.6187429000000002e-08;-2.38217e-07
-0.40346699999999996;2.5068599999999997e-07;1.6515552e-08;-2.3416999999999999e-07
-0.402393;2.47733e-07;1.6953050000000002e-08;-2.3078e-07
-0.401318;2.44342e-07;1.7171798e-08;-2.2717e-07
-0.400244;2.4117e-07;1.7281172000000003e-08;-2.23889e-07
-0.399169;2.38327e-07;1.7828046e-08;-2.20499e-07
-0.398095;2.34936e-07;1.7937420000000002e-08;-2.16999e-07
-0.39702;2.31545e-07;1.8156170000000002e-08;-2.13389e-07
-0.39594599999999996;2.2892e-07;1.8265544e-08;-2.10655e-07
-0.39487099999999997;2.26842e-07;1.8593668e-08;-2.08249e-07
-0.393797;2.23999e-07;1.8812416e-08;-2.05186e-07
-0.39272199999999996;2.21483e-07;1.9031166e-08;-2.02452e-07
