Applied potential [V];WE current [A]
0.0;-3.236785e-06
-0.001185546;-4.127181e-06
-0.0023710930000000003;-4.199981e-06
-0.0035566400000000002;-4.127181e-06
-0.004742187;-4.227981e-06
-0.0059277340000000005;-4.183181e-06
-0.007113281000000001;-4.26158e-06
-0.008298828000000001;-4.30078e-06
-0.009484375;-4.31198e-06
-0.010669922;-4.35118e-06
-0.011855468000000001;-4.28958e-06
-0.013041016;-4.36238e-06
-0.014226562000000002;-4.5247789999999995e-06
-0.015412109;-4.43518e-06
-0.016597657000000002;-4.5135789999999995e-06
-0.017783202;-4.625579e-06
-0.01896875;-4.597579e-06
-0.020154298;-4.737578e-06
-0.021339844;-4.748778e-06
-0.022525390000000003;-4.7991779999999995e-06
-0.023710936000000002;-4.754379e-06
-0.024896484;-4.950378e-06
-0.026082032;-4.860778e-06
-0.027267578;-4.8999779999999995e-06
-0.028453124000000003;-4.967178e-06
-0.029638672;-5.056777e-06
-0.030824218;-5.157577e-06
-0.032009766;-5.202376e-06
-0.033195314000000004;-5.269576e-06
-0.03438086;-5.325576e-06
-0.035566404;-5.331176e-06
-0.036751952000000004;-5.353576e-06
-0.0379375;-5.443175e-06
-0.039123048;-5.622374e-06
-0.040308596;-5.627974e-06
-0.041494140000000006;-5.779174e-06
-0.042679688;-5.801574e-06
-0.043865232000000004;-5.9415729999999995e-06
-0.045050780000000006;-6.019973e-06
-0.046236328;-6.019973e-06
-0.047421872000000004;-6.064772e-06
-0.048607420000000005;-6.221572e-06
-0.049792968;-6.283171e-06
-0.050978516;-6.445571e-06
-0.052164064;-6.50157e-06
-0.053349612000000005;-6.51837e-06
-0.054535156;-6.815169e-06
-0.055720700000000005;-6.966369e-06
-0.056906248000000006;-6.999968e-06
-0.058091796;-7.067168e-06
-0.059277344;-7.307967e-06
-0.060462888000000006;-7.436766e-06
-0.061648436;-7.632766e-06
-0.06283398800000001;-7.963164e-06
-0.064019532;-7.979963e-06
-0.065205076;-8.276762e-06
-0.06639062800000001;-8.377562e-06
-0.067576168;-8.663161e-06
-0.06876172;-8.909559999999999e-06
-0.06994726400000001;-9.155959e-06
-0.071132808;-9.407957e-06
-0.07231836;-9.637557e-06
-0.07350390400000001;-9.827956e-06
-0.074689456;-1.0197554e-05
-0.075875;-1.0539153e-05
-0.07706054400000001;-1.1020751e-05
-0.078246096;-1.120555e-05
-0.07943164000000001;-1.1759947e-05
-0.080617192;-1.2230345e-05
-0.081802736;-1.2465544e-05
-0.08298828000000001;-1.2846342e-05
-0.084173832;-1.342314e-05
-0.085359376;-1.3831937e-05
-0.08654492000000001;-1.4223936999999999e-05
