Applied potential [V];WE current [A];Applied potential [V];WE current [A];Applied potential [V];WE current [A];Applied potential [V];WE current [A]
-0.030033852000000003;4.14398e-07;-0.030033852000000003;5.655975e-06;-0.162024;-5.947173e-06;-0.162024;-6.0569328e-05
-0.028848308000000003;8.79196e-07;-0.028848308000000003;6.311171e-06;-0.16321;-7.3583669999999994e-06;-0.16321;-6.8935688e-05
-0.02766276;8.62396e-07;-0.02766276;6.327971e-06;-0.16439499999999999;-7.627165e-06;-0.16439499999999999;-6.8711688e-05
-0.026477214000000002;8.11996e-07;-0.026477214000000002;6.260771e-06;-0.165581;-7.727965e-06;-0.165581;-6.8448488e-05
-0.025291666;7.78396e-07;-0.025291666;6.165572e-06;-0.166766;-7.795165e-06;-0.166766;-6.8056488e-05
-0.024106118000000003;7.83996e-07;-0.024106118000000003;6.031173e-06;-0.167952;-7.884765e-06;-0.167952;-6.7681296e-05
-0.022920574000000003;7.503959999999999e-07;-0.022920574000000003;5.997573e-06;-0.16913799999999998;-7.901564e-06;-0.16913799999999998;-6.7154896e-05
-0.021735026;7.391959999999999e-07;-0.021735026;6.014373e-06;-0.170323;-7.951964e-06;-0.170323;-6.69141e-05
-0.020549480000000002;7.22396e-07;-0.020549480000000002;5.963973e-06;-0.171509;-7.991164e-06;-0.171509;-6.6757304e-05
-0.019363932;7.05596e-07;-0.019363932;5.902373e-06;-0.172694;-7.963164e-06;-0.172694;-6.64717e-05
-0.018178384000000002;7.16796e-07;-0.018178384000000002;5.829574e-06;-0.17387999999999998;-7.979963e-06;-0.17387999999999998;-6.60517e-05
-0.016992840000000002;6.71997e-07;-0.016992840000000002;5.846374e-06;-0.175065;-8.024763e-06;-0.175065;-6.5906104e-05
-0.015807291;6.99996e-07;-0.015807291;5.902373e-06;-0.176251;-7.985564e-06;-0.176251;-6.53629e-05
-0.014621745;6.99996e-07;-0.014621745;5.8631729999999995e-06;-0.17743599999999998;-8.041563e-06;-0.17743599999999998;-6.5015708e-05
-0.013436198000000002;6.77596e-07;-0.013436198000000002;5.958373e-06;-0.178622;-8.035964e-06;-0.178622;-6.4774908e-05
-0.012250651000000001;6.77596e-07;-0.012250651000000001;5.801574e-06;-0.179807;-8.019164e-06;-0.179807;-6.427651199999999e-05
-0.011065104000000001;6.94396e-07;-0.011065104000000001;5.795974e-06;-0.180993;-7.968764e-06;-0.180993;-6.4136508e-05
-0.009879557;6.60797e-07;-0.009879557;5.969573e-06;-0.18217899999999998;-7.996764e-06;-0.18217899999999998;-6.3755716e-05
-0.00869401;6.83196e-07;-0.00869401;5.879973e-06;-0.183364;-7.957564e-06;-0.183364;-6.3481316e-05
-0.007508463000000001;6.77597e-07;-0.007508463000000001;5.935973e-06;-0.18455;-7.951964e-06;-0.18455;-6.277571599999999e-05
-0.0063229160000000005;6.94396e-07;-0.0063229160000000005;5.958373e-06;-0.18573499999999998;-7.935164e-06;-0.18573499999999998;-6.240612e-05
-0.0051373700000000005;7.05596e-07;-0.0051373700000000005;6.019973e-06;-0.186921;-7.923964e-06;-0.186921;-6.219332e-05
-0.003951822000000001;6.88796e-07;-0.003951822000000001;5.947173e-06;-0.188106;-7.856764e-06;-0.188106;-6.1706124e-05
-0.0027662760000000002;7.11196e-07;-0.0027662760000000002;5.980773e-06;-0.189292;-7.817565e-06;-0.189292;-6.1168524e-05
-0.0015807290000000001;6.94396e-07;-0.0015807290000000001;6.059173e-06;-0.19047699999999998;-7.783965e-06;-0.19047699999999998;-6.0787728e-05
-0.000395182;7.11196e-07;-0.000395182;6.053572e-06;-0.191663;-7.755965e-06;-0.191663;-5.9998128e-05
