Applied potential [V];WE current [A];WE current [A];WE current [A];WE current [A]
-0.030023338000000004;1.587654e-06;6.623058e-06;4.246273e-06;4.6643236e-05
-0.029022560000000003;1.963431e-06;7.957064e-06;3.87989e-06;5.1293471999999996e-05
-0.028021782000000002;1.841304e-06;7.985247999999999e-06;3.635636e-06;5.0955272e-05
-0.027021004;1.766148e-06;7.928881e-06;3.49472e-06;5.0711016e-05
-0.026020226;1.709782e-06;7.94767e-06;3.400776e-06;5.0532524e-05
-0.025019448000000003;1.66281e-06;7.919487e-06;3.32562e-06;5.0720411999999996e-05
-0.024018670000000002;1.644021e-06;7.900697e-06;3.2692539999999998e-06;5.0720408e-05
-0.023017892;1.615838e-06;7.947669e-06;3.250465e-06;5.0945876e-05
-0.022017114;1.606443e-06;7.900697e-06;3.231676e-06;5.1359232e-05
-0.021016336;1.5876549999999999e-06;7.938275e-06;3.212887e-06;5.1471964e-05
-0.020015558000000003;1.57826e-06;7.900697e-06;3.203493e-06;5.1960472e-05
-0.019014782;1.57826e-06;7.900697e-06;3.212887e-06;5.2110787999999996e-05
-0.018014002;1.568866e-06;7.900697e-06;3.222282e-06;5.2542928e-05
-0.017013224;1.559471e-06;7.891303e-06;3.212887e-06;5.2937492e-05
-0.016012447000000003;1.550077e-06;7.928881e-06;3.231676e-06;5.3153564e-05
-0.015011669000000002;1.550077e-06;7.872514e-06;3.259859e-06;5.3660864e-05
-0.014010891000000001;1.550077e-06;7.872514e-06;3.278648e-06;5.3717232e-05
-0.013010113;1.550077e-06;7.881909e-06;3.297437e-06;5.4111796e-05
-0.012009335000000001;1.5406829999999999e-06;7.872514e-06;3.32562e-06;5.4515752e-05
-0.011008557;1.5406829999999999e-06;7.910092e-06;3.353804e-06;5.4684852e-05
-0.010007779000000001;1.540682e-06;7.853726e-06;3.391381e-06;5.5098207999999996e-05
-0.009007001;1.531288e-06;7.844329999999999e-06;3.419564e-06;5.5201544e-05
-0.008006223;1.531288e-06;7.863119999999999e-06;3.457142e-06;5.54364e-05
-0.007005445000000001;1.531288e-06;7.825542e-06;3.49472e-06;5.5774604e-05
-0.006004667;1.531288e-06;7.872514e-06;3.5322969999999998e-06;5.5812184e-05
-0.005003889;1.531288e-06;7.863119999999999e-06;3.588664e-06;5.6263112e-05
-0.004003111;1.521894e-06;7.825542e-06;3.635636e-06;5.6197347999999996e-05
-0.0030023330000000003;1.531288e-06;7.863119999999999e-06;3.692002e-06;5.6422816e-05
-0.002001555;1.5406829999999999e-06;7.825542e-06;3.7483689999999998e-06;5.6648284e-05
-0.001000777;1.5406829999999999e-06;7.863119999999999e-06;3.795341e-06;5.6676468e-05
0.0;1.5406829999999999e-06;7.834937e-06;3.861102e-06;5.7014663999999996e-05
