Applied potential [V];WE current [A]
0.0;-3.2297978e-05
-0.001000777;-3.054122e-05
-0.002001555;-2.8305354e-05
-0.0030023330000000003;-2.6717697999999998e-05
-0.004003111;-2.5477636e-05
-0.005003889;-2.4603956e-05
-0.006004667;-2.3861798e-05
-0.007005445000000001;-2.3232374e-05
-0.008006223;-2.2772048e-05
-0.009007001;-2.229293e-05
-0.010007779000000001;-2.1982916e-05
-0.011008557;-2.16729e-05
-0.012009335000000001;-2.1362886e-05
-0.013010113;-2.1165601999999998e-05
-0.014010891000000001;-2.0911954e-05
-0.015011669000000002;-2.0771038e-05
-0.016012447000000003;-2.0592544e-05
-0.017013224;-2.0414049999999998e-05
-0.018014002;-2.0301316e-05
-0.019014782;-2.01604e-05
-0.020015558000000003;-2.0085246e-05
-0.021016336;-1.9991301999999998e-05
-0.022017114;-1.9897358e-05
-0.023017892;-1.9850384e-05
-0.024018670000000002;-1.9709468e-05
-0.025019448000000003;-1.9718864e-05
-0.026020226;-1.9662497999999998e-05
-0.027021004;-1.9568554e-05
-0.028021782000000002;-1.9549764e-05
-0.029022560000000003;-1.947461e-05
-0.030023338000000004;-1.9493398e-05
-0.031024116;-1.945582e-05
-0.032024894000000005;-1.9418244e-05
-0.03302567;-1.9408848e-05
-0.034026448;-1.9361877999999998e-05
-0.035027228;-1.9390058e-05
-0.036028004;-1.9390058e-05
-0.037028784;-1.937127e-05
-0.038029564;-1.939006e-05
-0.039030340000000004;-1.9361876e-05
-0.040031116000000005;-1.9427638e-05
-0.041031892;-1.9418244e-05
-0.042032672;-1.9418244e-05
-0.043033452;-1.945582e-05
-0.044034228;-1.943703e-05
-0.045035004000000003;-1.9512188e-05
-0.046035784;-1.9530974e-05
-0.047036564;-1.9559158e-05
-0.048037340000000005;-1.962492e-05
-0.049038120000000004;-1.962492e-05
-0.050038896000000006;-1.9718862e-05
-0.051039672;-1.9794018e-05
-0.052040452;-1.9812808e-05
-0.053041232;-1.9897358e-05
-0.054042008;-1.9916146e-05
-0.055042784000000004;-2.0066455999999998e-05
-0.056043564000000004;-2.0141612e-05
-0.057044344000000004;-2.019798e-05
-0.058045120000000006;-2.0338894e-05
-0.059045896;-2.0385866e-05
-0.06004667600000001;-2.0536176e-05
-0.061047452;-2.0630122e-05
-0.062048232;-2.0761643999999998e-05
-0.063049012;-2.0911954e-05
-0.06404978800000001;-2.1005898e-05
-0.065050564;-2.1184391999999998e-05
-0.06605134;-2.1325306e-05
-0.06705212;-2.1466224e-05
-0.068052896;-2.1654112e-05
-0.06905368;-2.1813815999999998e-05
-0.070054456;-2.2048676e-05
-0.07105523200000001;-2.2236563999999998e-05
-0.072056008;-2.2396272e-05
-0.073056784;-2.2649918e-05
-0.074057568;-2.2837808e-05
-0.075058344;-2.3129032e-05
-0.076059128;-2.3363894e-05
-0.077059904;-2.3617544e-05
-0.07806068000000001;-2.390877e-05
-0.079061456;-2.4153026e-05
-0.08006223200000001;-2.4538194e-05
-0.081063008;-2.4829422e-05
-0.082063784;-2.5120648e-05
-0.083064568;-2.548703e-05
-0.084065344;-2.580644e-05
-0.085066128;-2.6247978e-05
-0.086066904;-2.6623753999999998e-05
-0.08706768000000001;-2.7008926e-05
-0.088068456;-2.7459856e-05
-0.08906923200000001;-2.7863816e-05
-0.09007000800000001;-2.8389902e-05
-0.09107079200000001;-2.8822046e-05
-0.092071568;-2.9329344e-05
-0.093072344;-2.9864823999999998e-05
-0.094073128;-3.0296966e-05
-0.095073904;-3.0973366e-05
-0.09607468000000001;-3.1490056e-05
-0.097075456;-3.2063118e-05
-0.09807624000000001;-3.2720726e-05
