Applied potential [V];WE current [A];Applied potential [V];WE current [A];Applied potential [V];WE current [A];Applied potential [V];WE current [A]
-0.03302567;-3.973835e-06;-0.03302567;-2.2462032e-05;-0.233981;-3.692002e-06;-0.233981;-8.671978399999999e-05
-0.034026448;-3.7483689999999998e-06;-0.034026448;-2.2527792e-05;-0.234982;-5.486334e-06;-0.234982;-9.94586e-05
-0.035027228;-3.522903e-06;-0.035027228;-2.1597746e-05;-0.235983;-5.3923899999999995e-06;-0.235983;-9.7138184e-05
-0.036028004;-3.400775e-06;-0.036028004;-2.0940138e-05;-0.236984;-5.289052e-06;-0.236984;-9.5221728e-05
-0.037028784;-3.335015e-06;-0.037028784;-2.0414049999999998e-05;-0.237984;-5.213897e-06;-0.237984;-9.3530736e-05
-0.038029564;-3.278648e-06;-0.038029564;-2.0057062e-05;-0.238985;-5.166925e-06;-0.238985;-9.2328248e-05
-0.039030340000000004;-3.2410699999999998e-06;-0.039030340000000004;-1.977523e-05;-0.23998599999999998;-5.119952e-06;-0.23998599999999998;-9.1257288e-05
-0.040031116000000005;-3.222282e-06;-0.040031116000000005;-1.9502792e-05;-0.24098699999999998;-5.082375e-06;-0.24098699999999998;-9.0073592e-05
-0.041031892;-3.203493e-06;-0.041031892;-1.9343088e-05;-0.24198799999999998;-5.054192e-06;-0.24198799999999998;-8.925627999999999e-05
-0.042032672;-3.184704e-06;-0.042032672;-1.9192775999999998e-05;-0.24298799999999998;-5.026009e-06;-0.24298799999999998;-8.8326232e-05
-0.043033452;-3.1753099999999998e-06;-0.043033452;-1.9108226e-05;-0.24398899999999998;-5.0072189999999996e-06;-0.24398899999999998;-8.7555888e-05
-0.044034228;-3.165915e-06;-0.044034228;-1.900489e-05;-0.24498999999999999;-4.979036e-06;-0.24498999999999999;-8.663524e-05
-0.045035004000000003;-3.156521e-06;-0.045035004000000003;-1.892034e-05;-0.245991;-4.960248e-06;-0.245991;-8.5874288e-05
-0.046035784;-3.156521e-06;-0.046035784;-1.890155e-05;-0.246991;-4.950853e-06;-0.246991;-8.5113344e-05
-0.047036564;-3.156521e-06;-0.047036564;-1.8845184e-05;-0.247992;-4.941458e-06;-0.247992;-8.417389599999999e-05
-0.048037340000000005;-3.156521e-06;-0.048037340000000005;-1.883579e-05;-0.248993;-4.932064e-06;-0.248993;-8.3375376e-05
-0.049038120000000004;-3.1471259999999998e-06;-0.049038120000000004;-1.883579e-05;-0.249994;-4.92267e-06;-0.249994;-8.2501696e-05
-0.050038896000000006;-3.1471259999999998e-06;-0.050038896000000006;-1.883579e-05;-0.25099499999999997;-4.932064e-06;-0.25099499999999997;-8.1543464e-05
-0.051039672;-3.1471259999999998e-06;-0.051039672;-1.8845184e-05;-0.25199499999999997;-4.92267e-06;-0.25199499999999997;-8.078252e-05
-0.052040452;-3.156521e-06;-0.052040452;-1.8873365999999998e-05;-0.252996;-4.92267e-06;-0.252996;-7.9627008e-05
-0.053041232;-3.1471259999999998e-06;-0.053041232;-1.8910944e-05;-0.253997;-4.913275e-06;-0.253997;-7.874392799999999e-05
-0.054042008;-3.165915e-06;-0.054042008;-1.8957916e-05;-0.254998;-4.92267e-06;-0.254998;-7.7785704e-05
-0.055042784000000004;-3.165915e-06;-0.055042784000000004;-1.900489e-05;-0.255998;-4.932064e-06;-0.255998;-7.6695952e-05
-0.056043564000000004;-3.1753099999999998e-06;-0.056043564000000004;-1.9080044e-05;-0.256999;-4.932064e-06;-0.256999;-7.567196e-05
-0.057044344000000004;-3.184704e-06;-0.057044344000000004;-1.9127016e-05;-0.258;-4.941458e-06;-0.258;-7.4601e-05
-0.058045120000000006;-3.184704e-06;-0.058045120000000006;-1.9239749999999998e-05;-0.259001;-4.941458e-06;-0.259001;-7.3539432e-05
-0.059045896;-3.194099e-06;-0.059045896;-1.9314903999999998e-05;-0.260002;-4.950853e-06;-0.260002;-7.244968e-05
-0.06004667600000001;-3.194099e-06;-0.06004667600000001;-1.9380666e-05;-0.261002;-4.969642e-06;-0.261002;-7.1181432e-05
-0.061047452;-3.212887e-06;-0.061047452;-1.9512188e-05;-0.262003;-4.979036e-06;-0.262003;-7.0213808e-05
-0.062048232;-3.222282e-06;-0.062048232;-1.958734e-05;-0.263004;-4.988431e-06;-0.263004;-6.8861016e-05
-0.063049012;-3.231676e-06;-0.063049012;-1.9747048e-05;-0.264005;-5.0072189999999996e-06;-0.264005;-6.7893392e-05
