Voltage [V],Current [uA]
-0.050038896,93.868936
-0.051039672,95.024448
-0.052040452,95.372032
-0.053041232,95.597496
-0.054042008,95.719624
-0.055042784,95.785392
-0.056043564,95.869936
-0.057044344,95.89812
-0.05804512,95.926304
-0.059045896,95.945096
-0.060046676,95.963888
-0.061047452,95.945104
-0.062048232,95.954488
-0.063049012,95.973272
-0.064049788,95.963888
-0.065050564,95.97328
-0.06605134,95.963888
-0.06705212,95.982672
-0.068052896,95.963888
-0.06905368,95.945096
-0.070054456,95.963888
-0.071055232,95.963888
-0.072056008,95.954488
-0.073056784,95.954488
-0.074057568,95.954488
-0.075058344,95.963888
-0.076059128,95.954488
-0.077059904,95.9357
-0.07806068,95.916912
-0.079061456,96.010857
-0.080062232,96.086016
-0.081063008,96.1048
-0.082063784,96.123584
-0.083064568,96.114192
-0.084065344,96.114192
-0.085066128,96.1048
-0.086066904,96.142384
-0.08706768,96.114192
-0.088068456,96.086008
-0.089069232,96.1048
-0.090070008,96.123584
-0.091070792,96.095408
-0.092071568,96.1048
-0.093072344,96.123584
-0.094073128,96.114192
-0.095073904,96.123584
-0.09607468,96.123592
-0.097075456,96.1048
-0.09807624,96.095408
-0.099077016,96.111846
-0.100077792,96.123592
-0.101078568,96.123584
-0.102079344,96.132984
-0.10308012,96.142384
-0.104080904,96.132984
-0.105081688,96.132984
-0.106082464,96.151776
-0.10708324,96.151776
-0.108084016,96.14238
-0.109084792,96.132984
-0.110085568,96.132984
-0.111086344,96.123584
-0.112087128,96.132984
-0.113087904,96.151776
-0.114088688,96.142384
-0.115089464,96.132984
-0.11609024,96.140034
-0.117091016,96.142384
-0.118091792,96.142384
-0.119092576,96.142384
-0.120093352,96.142384
-0.121094128,96.142384
-0.122094904,96.132984
-0.12309568,96.151776
-0.124096464,96.142384
-0.125097248,96.151768
-0.126098024,96.161168
-0.1270988,96.17056
-0.128099576,96.179952
-0.129100352,96.076616
-0.130101128,95.982672
-0.131101904,95.97328
-0.13210268,96.001464
-0.133103464,96.001464
-0.13410424,96.001464
-0.135105,96.001464
-0.136105,96.006162
-0.137106,96.010864
-0.138107,96.010856
-0.139108,96.029648
-0.140108,96.029648
-0.141109,96.036692
-0.14211,96.036105
-0.143111,96.03904
-0.144112,96.03904
-0.145112,96.048432
-0.146113,96.057824
-0.147114,96.057832
-0.148115,96.057824
-0.149115,96.086008
-0.150116,96.057824
-0.151117,96.076624
-0.152118,96.048432
-0.153119,96.03904
-0.154119,96.076624
-0.15512,96.057824
-0.156121,96.067224
-0.157122,96.057832
-0.158122,96.05548
-0.159123,96.048432
-0.160124,96.048432
-0.161125,96.053128
-0.162126,96.057824
-0.163126,96.057824
-0.164127,96.076624
-0.165128,96.076624
-0.166129,96.071924
-0.167129,96.067224
-0.16813,96.067224
-0.169131,96.095408
-0.170132,96.076624
-0.171133,96.095408
-0.172133,96.095408
-0.173134,96.067224
-0.174135,96.076624
-0.17513600000000001,96.057824
-0.176136,96.095408
-0.177137,96.086008
-0.178138,96.095408
-0.179139,96.088358
-0.18014,96.086008
-0.18114,96.086008
-0.182141,96.083662
-0.183142,96.0807275
-0.184143,96.076624
-0.185143,96.076616
-0.186144,96.095408
-0.187145,96.104792
-0.188146,96.114192
-0.189147,96.114192
-0.190147,96.1048
-0.191148,96.123592
-0.192149,96.114192
-0.19315,96.1048
-0.19415,96.114192
-0.195151,96.107148
-0.196152,96.1048
-0.197153,96.119479
-0.198154,96.132984
-0.199154,96.132984
-0.200155,96.114192
-0.201156,96.123584
-0.202157,96.151768
-0.203157,96.1048
-0.204158,96.123584
-0.205159,96.132984
-0.20616,96.142384
-0.207161,96.125938
-0.208161,96.114192
-0.209162,96.114192
-0.210163,96.161168
-0.211164,96.142384
-0.212164,96.151774
-0.213165,96.151768
-0.214166,96.151776
-0.215167,96.17056
-0.216168,96.142384
-0.217168,96.161168
-0.218169,96.142384
-0.21917,96.151768
-0.220171,96.151768
-0.221171,96.161168
-0.222172,96.17056
-0.223173,96.17056
-0.224174,96.179952
-0.225175,96.151776
-0.226175,96.189344
-0.227176,96.179952
-0.228177,96.189352
-0.229178,96.17056
-0.230178,96.189344
-0.231179,96.179952
-0.23218,96.179952
-0.233181,96.189352
-0.234182,96.198744
-0.235182,96.226928
-0.236183,96.217536
-0.237184,96.189344
-0.238185,96.198744
-0.239185,96.217528
-0.240186,96.23632
-0.241187,96.208144
-0.242188,96.217536
-0.243189,96.226928
-0.244189,96.226928
-0.24519,96.198744
-0.246191,96.23632
-0.247192,96.198744
-0.248192,96.245712
-0.249193,96.245712
-0.250194,96.255112
-0.251195,96.23632
-0.252196,96.245712
-0.253196,96.23632
-0.254197,96.255112
-0.255198,96.245712
-0.256199,96.245712
-0.257199,96.245712
-0.2582,96.255112
-0.259201,96.245712
-0.260202,96.255112
-0.261203,96.264504
-0.262203,96.255112
-0.263204,96.255112
-0.264205,96.264504
-0.265206,96.264504
-0.266206,96.264504
-0.267207,96.283296
-0.268208,96.292688
-0.269209,96.273904
-0.27021,96.283288
-0.27121,96.283292
-0.272211,96.287989
-0.273212,96.292688
-0.274213,96.292688
-0.275213,96.283296
-0.276214,96.30208
-0.277215,96.292688
-0.278216,96.311472
-0.279217,96.30208
-0.280217,96.320872
-0.281218,96.311472
-0.282219,96.292688
-0.28322,96.292688
-0.28422,96.302088
-0.285221,96.302088
-0.286222,96.292688
-0.287223,96.30208
-0.288224,96.393678
-0.289224,96.480576
-0.290225,96.499368
-0.291226,96.480584
-0.292227,96.499368
-0.293227,96.499368
-0.294228,96.501714
-0.295229,96.499368
-0.29623,96.508752
-0.297231,96.515806
-0.298231,96.527552
-0.299232,96.527552
-0.300233,96.499368
-0.301234,96.50876
-0.302234,96.518156
-0.303235,96.527552
-0.304236,96.536944
-0.305237,96.536944
-0.306238,96.527552
-0.307238,96.546336
-0.308239,96.565128
-0.30924,96.536944
-0.310241,96.583912
-0.311241,96.555728
-0.312242,96.565128
-0.313243,96.546336
-0.314244,96.57452
-0.315245,96.583912
-0.316245,96.57452
-0.317246,96.593312
-0.318247,96.602704
-0.319248,96.593312
-0.320248,96.602704
-0.321249,96.612104
-0.32225,96.621488
-0.323251,96.630888
-0.324252,96.621488
-0.325252,96.630888
-0.326253,96.630888
-0.327254,96.640272
-0.328255,96.649672
-0.329255,96.677864
-0.330256,96.677864
-0.331257,96.687256
-0.332258,96.717786
-0.333259,96.753016
-0.334259,96.753008
-0.33526,96.753008
-0.336261,96.762408
-0.337262,96.781192
-0.338262,96.663764
-0.339263,96.555728
-0.340264,96.555728
-0.341265,96.583912
-0.342266,96.612104
-0.343266,96.593312
-0.344267,96.621488
-0.345268,96.630888
-0.346269,96.612104
-0.347269,96.640272
-0.34827,96.649672
-0.349271,96.687256
-0.35027200000000003,96.64028
-0.351273,96.668464
-0.352273,96.677864
-0.353274,96.715432
-0.354275,96.668464
-0.355276,96.696648
-0.356276,96.70604
-0.357277,96.734224
-0.358278,96.734224
-0.359279,96.734224
-0.36028,96.753008
-0.36128,96.762408
-0.362281,96.76945
-0.363282,96.781192
-0.364283,96.781192
-0.365283,96.783542
-0.366284,96.781192
-0.367285,96.790592
-0.368286,96.828168
-0.369287,96.828168
-0.370287,96.837568
-0.371288,96.865752
-0.372289,96.856352
-0.37329,96.875144
-0.37429,96.865744
-0.375291,96.884536
-0.376292,96.90332
-0.377293,96.903328
-0.378294,96.912712
-0.379294,96.931504
-0.380295,96.950296
-0.381296,96.978472
-0.382297,96.978472
-0.383297,96.980824
-0.384298,96.978472
-0.385299,96.98788
-0.3863,97.016064
-0.387301,96.997272
-0.388301,97.034848
-0.389302,97.034848
-0.390303,97.072424
-0.391304,97.072424
-0.392304,97.05364
-0.393305,97.091208
-0.394306,97.072424
-0.395307,97.091208
-0.396308,97.11
-0.397308,97.1194
-0.398309,97.109992
-0.39931,97.128792
-0.400311,97.1288
-0.401311,97.147584
-0.402312,97.19456
-0.403313,97.156968
-0.404314,97.17576
-0.405315,97.17576
-0.406315,97.194552
-0.407316,97.232128
-0.408317,97.222728
-0.409318,97.213344
-0.410318,97.213344
-0.411319,97.229782
-0.41232,97.25092
-0.413321,97.24152
-0.414322,97.26032
-0.415322,97.222736
-0.416323,97.24152
-0.417324,97.26032
-0.418325,97.269704
-0.419325,97.297888
-0.420326,97.288496
-0.421327,97.26032
-0.422328,97.288496
-0.423329,97.269704
-0.424329,97.279104
-0.42533,97.297888
-0.426331,97.279104
-0.427332,97.288488
-0.428332,97.279104
-0.429333,97.297888
-0.430334,97.279104
-0.431335,97.30728
-0.432336,97.30728
-0.433336,97.31668
-0.434337,97.297888
-0.435338,97.30728
-0.436339,97.31668
-0.437339,97.30728
-0.43834,97.288496
-0.439341,97.30728
-0.440342,97.31668
-0.441343,97.297888
-0.442343,97.297888
-0.443344,97.290844
-0.444345,97.279104
-0.445346,97.288496
-0.446346,97.269704
-0.447347,97.297888
-0.448348,97.30728
-0.449349,97.297888
-0.45035,97.26032
-0.45135,97.26032
-0.452351,97.26032
-0.453352,97.26032
-0.454353,97.26032
-0.455353,97.269704
-0.456354,97.232128
-0.457355,97.269704
-0.458356,97.25092
-0.459357,97.25092
-0.460357,97.25092
-0.461358,97.232128
-0.462359,97.24152
-0.46336,97.232128
-0.46436,97.222736
-0.465361,97.203944
-0.466362,97.19456
-0.467363,97.203944
-0.468364,97.213344
-0.469364,97.203948
-0.470365,97.203944
-0.471366,97.19456
-0.472367,97.166368
-0.473367,97.166368
-0.474368,97.147584
-0.475369,97.156968
-0.47637,97.17576
-0.477371,97.166368
-0.478371,97.138184
-0.479372,97.128792
-0.480373,97.156968
-0.481374,97.147584
-0.482374,97.138184
-0.483375,97.13349
-0.484376,97.1194
-0.485377,97.128792
-0.486378,97.109992
-0.487378,97.100608
-0.488379,97.11
-0.48938,97.100608
-0.490381,97.081824
-0.491381,97.081824
-0.492382,97.086516
-0.493383,97.091208
-0.494384,97.091208
-0.495385,97.063024
-0.496385,97.154622
-0.497386,97.222728
-0.498387,97.241528
-0.499388,97.24152
-0.500388,97.25092
-0.501389,97.269704
-0.50239,97.232128
-0.503391,97.24152
-0.504392,97.25092
-0.505392,97.26032
-0.506393,97.232128
-0.507394,97.24152
-0.508395,97.26032
-0.509395,97.24152
-0.510396,97.232128
-0.511397,97.269704
-0.512398,97.222736
-0.513399,97.269712
-0.514399,97.25092
-0.5154,97.241528
-0.516401,97.24152
-0.517402,97.236826
-0.518402,97.232128
-0.519403,97.232128
-0.520404,97.232128
-0.521405,97.229778
-0.522406,97.232128
-0.523406,97.222728
-0.524407,97.260312
-0.525408,97.222728
-0.526409,97.26032
-0.527409,97.24152
-0.52841,97.232128
-0.529411,97.222728
-0.530412,97.241528
-0.531413,97.26032
-0.532413,97.25092
-0.533414,97.222736
-0.534415,97.24152
-0.535416,97.26032
-0.536416,97.24152
-0.537417,97.222728
-0.538418,97.232128
-0.539419,97.26032
-0.54042,97.232128
-0.54142,97.279096
-0.542421,97.279104
-0.543422,97.26501
-0.544423,97.26032
-0.545423,97.24152
-0.546424,97.25092
-0.547425,97.159322
-0.548426,97.04424
-0.549427,97.100608
-0.550427,97.05364
-0.551428,97.044232
-0.552429,97.063032
-0.55343,97.091216
-0.55443,97.072424
-0.555431,97.081824
-0.556432,97.081824
-0.557433,97.072424
-0.558434,97.093558
-0.559434,97.109992
-0.560435,97.109992
-0.561436,97.10295
-0.562437,97.100608
-0.563437,97.1129375
-0.564438,97.128792
-0.565439,97.1194
-0.56644,97.091208
-0.567441,97.091208
-0.568441,97.100608
-0.569442,97.11
-0.570443,97.110002
-0.571444,97.1194
-0.572444,97.11
-0.573445,97.1194
-0.574446,97.1194
-0.575447,97.166368
-0.576448,97.156968
-0.577448,97.128792
-0.578449,97.156968
-0.57945,97.128784
-0.580451,97.11
-0.581451,97.147584
-0.582452,97.156968
-0.583453,97.17576
-0.584454,97.175752
-0.585455,97.173412
-0.586455,97.166368
-0.587456,97.175768
-0.588457,97.18516
-0.589458,97.18516
-0.590458,97.189856
-0.591459,97.203944
-0.59246,97.18516
-0.593461,97.175752
-0.594462,97.18516
-0.595462,97.194552
-0.596463,97.222728
-0.597464,97.222728
-0.598465,97.222728
-0.599465,97.222728
-0.600466,97.213344
-0.601467,97.22743
-0.602468,97.24152
-0.603469,97.232128
-0.604469,97.260312
-0.60547,97.269712
-0.606471,97.257966
-0.607472,97.24152
-0.608472,97.26032
-0.609473,97.269712
-0.610474,97.24152
-0.611475,97.26032
-0.612476,97.269704
-0.613476,97.279104
-0.614477,97.297888
-0.615478,97.297892
-0.616479,97.307288
-0.617479,97.307288
-0.61848,97.288496
-0.619481,97.31433
-0.620482,97.335464
-0.621483,97.326072
-0.622483,97.335464
-0.623484,97.326072
-0.624485,97.31668
-0.625486,97.326072
-0.626486,97.335472
-0.627487,97.32608
-0.628488,97.344864
-0.629489,97.335472
-0.63049,97.373048
-0.63149,97.344856
-0.632491,97.363648
-0.633492,97.344864
-0.634493,97.354256
-0.635493,97.38244
-0.636494,97.39184
-0.637495,97.373048
-0.638496,97.420016
-0.639497,97.391832
-0.640497,97.38244
-0.641498,97.429408
-0.642499,97.401232
-0.6435,97.420016
-0.6445,97.401224
-0.645501,97.429408
-0.646502,97.39184
-0.647503,97.420016
-0.648504,97.429408
-0.649504,97.448208
-0.650505,97.4482
-0.651506,97.4482
-0.652507,97.466992
-0.653507,97.448208
-0.654508,97.485776
-0.655509,97.457592
-0.65651,97.476384
-0.657511,97.485776
-0.658511,97.488124
-0.659512,97.495168
-0.660513,97.495168
-0.661514,97.504568
-0.662514,97.504568
-0.663515,97.513964
-0.664516,97.52336
-0.665517,97.52336
-0.666518,97.51396
-0.667518,97.551536
-0.668519,97.52336
-0.66952,97.532752
-0.670521,97.560928
-0.671521,97.560936
-0.672522,97.523352
-0.673523,97.551536
-0.674524,97.598512
-0.675525,97.59852
-0.676525,97.57032
-0.677526,97.560928
-0.678527,97.58912
-0.679528,97.598512
-0.680528,97.58912
-0.681529,97.598512
-0.68253,97.598504
-0.683531,97.617296
-0.684532,97.607904
-0.685532,97.626688
-0.686533,97.63608
-0.687534,97.636088
-0.688535,97.643134
-0.689535,97.65488
-0.690536,97.645488
-0.691537,97.65488
-0.692538,97.626688
-0.693539,97.636088
-0.694539,97.64548
-0.69554,97.636088
-0.696541,97.683064
-0.697542,97.664272
-0.698542,97.692448
-0.699543,97.673664
