Voltage [V],Current [uA]
-0.050038896,14.088794
-0.051039672,22.055254
-0.052040452,22.138862
-0.053041232,22.086254
-0.054042008,22.058072
-0.055042784,22.004522
-0.056043564,21.967884
-0.057044344,21.921854
-0.05804512,21.868304
-0.059045896,21.839182
-0.060046676,21.802542
-0.061047452,21.780936
-0.062048232,21.75933
-0.063049012,21.693566
-0.064049788,21.702024
-0.065050564,21.654112
-0.06605134,21.62311
-0.06705212,21.59305
-0.068052896,21.611836
-0.06905368,21.555468
-0.070054456,21.559228
-0.071055232,21.543258
-0.072056008,21.504742
-0.073056784,21.501922
-0.074057568,21.48877
-0.075058344,21.46998
-0.076059128,21.458708
-0.077059904,21.443678
-0.07806068,21.424888
-0.079061456,21.401402
-0.080062232,21.419252
-0.081063008,21.408918
-0.082063784,21.414556
-0.083064568,21.397644
-0.084065344,21.386372
-0.085066128,21.381674
-0.086066904,21.35537
-0.08706768,21.353492
-0.088068456,21.337522
-0.089069232,21.333764
-0.090070008,21.319672
-0.091070792,21.30276
-0.092071568,21.283032
-0.093072344,21.290548
-0.094073128,21.273638
-0.095073904,21.246394
-0.09607468,21.238878
-0.097075456,21.231364
-0.09807624,21.21915
-0.099077016,21.212574
-0.100077792,21.205998
-0.101078568,21.206938
-0.102079344,21.181572
-0.10308012,21.1703
-0.104080904,21.166542
-0.105081688,21.158088
-0.106082464,21.151512
-0.10708324,21.143056
-0.108084016,21.143996
-0.109084792,21.133662
-0.110085568,21.128024
-0.111086344,21.117692
-0.112087128,21.1036
-0.113087904,21.11957
-0.114088688,21.128024
-0.115089464,21.097024
-0.11609024,21.108296
-0.117091016,21.096084
-0.118091792,21.090448
-0.119092576,21.08387
-0.120093352,21.089508
-0.121094128,21.099842
-0.122094904,21.091386
-0.12309568,21.093266
-0.124096464,21.08857
-0.125097248,21.090448
-0.126098024,21.097964
-0.1270988,21.099842
-0.128099576,21.106418
-0.129100352,21.082227
-0.130101128,21.054748
-0.131101904,21.0679
-0.13210268,21.072598
-0.133103464,21.072598
-0.13410424,21.075416
-0.135105,21.074478
-0.136105,21.0784705
-0.137106,21.078236
-0.138107,21.085752
-0.139108,21.089508
-0.140108,21.10454
-0.141109,21.088568
-0.14211,21.127086
-0.143111,21.10172
-0.144112,21.11957
