Voltage [V],Current [uA]
-0.050038896,22.533428
-0.051039672,24.12578
-0.052040452,24.56356
-0.053041232,24.707294
-0.054042008,24.761782
-0.055042784,24.794664
-0.056043564,24.811572
-0.057044344,24.790906
-0.05804512,24.803118
-0.059045896,24.789966
-0.060046676,24.7646
-0.061047452,24.776814
-0.062048232,24.789966
-0.063049012,24.809694
-0.064049788,24.807814
-0.065050564,24.819088
-0.06605134,24.819088
-0.06705212,24.818383
-0.068052896,24.817208
-0.06905368,24.818148
-0.070054456,24.807814
-0.071055232,24.81251
-0.072056008,24.8000635
-0.073056784,24.788086
-0.074057568,24.791844
-0.075058344,24.795602
-0.076059128,24.816268
-0.077059904,24.789026
-0.07806068,24.807814
-0.079061456,24.783388
-0.080062232,24.804996
-0.081063008,24.816268
-0.082063784,24.8071095
-0.083064568,24.804056
-0.084065344,24.803118
-0.085066128,24.8129815
-0.086066904,24.820028
-0.08706768,24.824724
-0.088068456,24.803118
-0.089069232,24.790906
-0.090070008,24.790906
-0.091070792,24.78527
-0.092071568,24.79208
-0.093072344,24.790906
-0.094073128,24.801238
-0.095073904,24.80218
-0.09607468,24.7958375
-0.097075456,24.793724
-0.09807624,24.786208
-0.099077016,24.7693
-0.100077792,24.777754
-0.101078568,24.789026
-0.102079344,24.787146
-0.10308012,24.772114
-0.104080904,24.78151
-0.105081688,24.783154
-0.106082464,24.785444
-0.10708324,24.788086
-0.108084016,24.781789
-0.109084792,24.777754
-0.110085568,24.775872
-0.111086344,24.773056
-0.112087128,24.791844
-0.113087904,24.79936
-0.114088688,24.798422
-0.115089464,24.77963
-0.11609024,24.78057
-0.117091016,24.770238
-0.118091792,24.771176
-0.119092576,24.768358
-0.120093352,24.769298
-0.121094128,24.776814
-0.122094904,24.762722
-0.12309568,24.787146
-0.124096464,24.775872
-0.125097248,24.756146
-0.126098024,24.760844
-0.1270988,24.74675
-0.128099576,24.754266
-0.129100352,24.7321895
-0.130101128,24.71669
-0.131101904,24.711052
-0.13210268,24.693204
-0.133103464,24.668778
-0.13410424,24.652808
-0.135105,24.675354
-0.136105,24.685688
-0.137106,24.694142
-0.138107,24.689446
-0.139108,24.694142
-0.140108,24.677232
-0.141109,24.672536
-0.14211,24.656566
-0.143111,24.672536
-0.144112,24.683808
-0.145112,24.679112
-0.146113,24.67911
-0.147114,24.677232
-0.148115,24.6697165
-0.149115,24.660324
-0.150116,24.6622
-0.151117,24.66314
-0.152118,24.660324
-0.153119,24.655624
-0.154119,24.628382
-0.15512,24.64811
-0.156121,24.66502
-0.157122,24.669716
-0.158122,24.68193
-0.159123,24.68099
-0.160124,24.677232
-0.161125,24.643414
-0.162126,24.641534
-0.163126,24.655624
-0.164127,24.656566
-0.165128,24.665958
-0.166129,24.669716
-0.167129,24.658442
-0.16813,24.665958
-0.169131,24.669716
-0.170132,24.682868
-0.171133,24.696962
-0.172133,24.678172
-0.173134,24.684748
-0.174135,24.709174
-0.17513600000000001,24.688506
-0.176136,24.70072
-0.177137,24.723264
-0.178138,24.727962
-0.179139,24.718568
-0.18014,24.716688
-0.18114,24.722326
-0.182141,24.729842
-0.183142,24.74769
-0.184143,24.734538
-0.185143,24.742054
-0.186144,24.716688
-0.187145,24.740176
-0.188146,24.74957
-0.189147,24.756144
-0.190147,24.760842
-0.191148,24.773996
-0.192149,24.776814
-0.19315,24.780572
-0.19415,24.786208
-0.195151,24.771176
-0.196152,24.774934
