Voltage [V],Current [uA]
-0.050038896,-0.432133
-0.051039672,-0.967614
-0.052040452,64.99992
-0.053041232,122.916432
-0.054042008,111.41768
-0.055042784,104.024296
-0.056043564,99.19556
-0.057044344,95.841752
-0.05804512,93.380424
-0.059045896,91.586088
-0.060046676,90.289656
-0.061047452,89.378408
-0.062048232,88.63624
-0.063049012,88.091368
-0.064049788,87.696808
-0.065050564,87.414976
-0.06605134,87.161328
-0.06705212,86.97344
-0.068052896,86.83252
-0.06905368,86.785544
-0.070054456,86.663424
-0.071055232,86.616448
-0.072056008,86.531896
-0.073056784,86.484928
-0.074057568,86.43796
-0.075058344,86.42856
-0.076059128,86.3628
-0.077059904,86.3628
-0.07806068,86.30644
-0.079061456,86.278248
-0.080062232,86.390984
-0.081063008,86.41916
-0.082063784,86.41916
-0.083064568,86.400376
-0.084065344,86.3628
-0.085066128,86.3628
-0.086066904,86.344008
-0.08706768,86.353408
-0.088068456,86.325224
-0.089069232,86.381584
-0.090070008,86.344008
-0.091070792,86.325224
-0.092071568,86.28764
-0.093072344,86.344008
-0.094073128,86.30644
-0.095073904,86.29704
-0.09607468,86.30174
-0.097075456,86.29704
-0.09807624,86.30644
-0.099077016,86.28764
-0.100077792,86.268848
-0.101078568,86.306432
-0.102079344,86.28764
-0.10308012,86.29704
-0.104080904,86.250064
-0.105081688,86.306432
-0.106082464,86.240672
-0.10708324,86.28764
-0.108084016,86.250064
-0.109084792,86.259464
-0.110085568,86.259464
-0.111086344,86.268848
-0.112087128,86.240672
-0.113087904,86.268848
-0.114088688,86.250064
-0.115089464,86.29704
-0.11609024,86.240672
-0.117091016,86.29704
-0.118091792,86.259464
-0.119092576,86.24068
-0.120093352,86.259464
-0.121094128,86.257114
-0.122094904,86.259464
-0.12309568,86.268848
-0.124096464,86.268856
-0.125097248,86.250064
-0.126098024,86.24068
-0.1270988,86.268856
-0.128099576,86.268848
-0.129100352,86.186654
-0.130101128,86.080968
-0.131101904,86.127944
-0.13210268,86.09976
-0.133103464,86.118544
-0.13410424,86.080968
-0.135105,86.109152
-0.136105,86.052784
-0.137106,86.137328
-0.138107,86.090352
-0.139108,86.127944
-0.140108,86.118544
-0.141109,86.120896
-0.14211,86.109152
-0.143111,86.127944
-0.144112,86.118544
-0.145112,86.15612
-0.146113,86.109152
-0.147114,86.127936
-0.148115,86.109152
-0.149115,86.146728
-0.150116,86.109152
-0.151117,86.118544
-0.152118,86.09976
-0.153119,86.118548
-0.154119,86.127944
-0.15512,86.127944
-0.156121,86.132636
-0.157122,86.137328
-0.158122,86.137328
-0.159123,86.127936
-0.160124,86.109152
-0.161125,86.127936
-0.162126,86.118544
-0.163126,86.137328
-0.164127,86.137328
-0.165128,86.134982
-0.166129,86.1367415
-0.167129,86.137328
-0.16813,86.137328
-0.169131,86.146728
-0.170132,86.146728
-0.171133,86.137328
-0.172133,86.149076
-0.173134,86.16552
-0.174135,86.146728
-0.17513600000000001,86.137328
-0.176136,86.156112
-0.177137,86.146728
-0.178138,86.146724
-0.179139,86.146728
-0.18014,86.137328
-0.18114,86.137332
-0.182141,86.127944
-0.183142,86.137328
-0.184143,86.203088
-0.185143,86.184304
-0.186144,86.146728
-0.187145,86.156112
-0.188146,86.15612
-0.189147,86.163166
-0.190147,86.174912
-0.191148,86.16552
-0.192149,86.167868
-0.19315,86.16552
-0.19415,86.16552
-0.195151,86.174912
-0.196152,86.250064
-0.197153,86.22188
-0.198154,86.146728
-0.199154,86.184304
-0.200155,86.17961
-0.201156,86.193704
-0.202157,86.193704
-0.203157,86.193704
-0.204158,86.212488
-0.205159,86.221872
-0.20616,86.193704
-0.207161,86.184304
-0.208161,86.193696
-0.209162,86.198394
-0.210163,86.203088
-0.211164,86.212488
-0.212164,86.250064
-0.213165,86.240672
-0.214166,86.240672
-0.215167,86.23128
-0.216168,86.240672
-0.217168,86.259464
-0.218169,86.23128
-0.21917,86.240672
-0.220171,86.240672
-0.221171,86.235976
-0.222172,86.23128
-0.223173,86.251238
-0.224174,86.268848
-0.225175,86.268848
-0.226175,86.268852
-0.227176,86.259464
-0.228177,86.278248
-0.229178,86.268848
-0.230178,86.259464
-0.231179,86.268848
-0.23218,86.268856
-0.233181,86.268852
-0.234182,86.259456
-0.235182,86.278248
-0.236183,86.29704
-0.237184,86.29704
-0.238185,86.268848
-0.239185,86.30644
-0.240186,86.334616
-0.241187,86.30644
-0.242188,86.259464
-0.243189,86.28764
-0.244189,86.278248
-0.24519,86.30644
-0.246191,86.315824
-0.247192,86.29704
-0.248192,86.30644
-0.249193,86.29939
-0.250194,86.29704
-0.251195,86.29704
-0.252196,86.28764
-0.253196,86.306432
-0.254197,86.325224
-0.255198,86.315824
-0.256199,86.325224
-0.257199,86.344008
-0.2582,86.315824
-0.259201,86.334608
-0.260202,86.3534
-0.261203,86.381592
-0.262203,86.3534
-0.263204,86.3628
-0.264205,86.3722
-0.265206,86.3628
-0.266206,86.344008
-0.267207,86.3628
-0.268208,86.3722
-0.269209,86.381584
-0.27021,86.381584
-0.27121,86.381592
-0.272211,86.383936
-0.273212,86.390984
-0.274213,86.381584
-0.275213,86.395678
-0.276214,86.400376
-0.277215,86.3851135
-0.278216,86.3722
-0.279217,86.3722
-0.280217,86.409768
-0.281218,86.42856
-0.282219,86.381584
-0.28322,86.3628
-0.28422,86.409768
-0.285221,86.3534
-0.286222,86.3722
-0.287223,86.3534
-0.288224,86.3628
-0.289224,86.447348
-0.290225,86.541288
-0.291226,86.531904
-0.292227,86.531896
-0.293227,86.545992
-0.294228,86.56948
-0.295229,86.550688
-0.29623,86.588264
-0.297231,86.588264
-0.298231,86.59296
-0.299232,86.588264
-0.300233,86.607048
-0.301234,86.578872
-0.302234,86.550688
-0.303235,86.597656
-0.304236,86.588264
-0.305237,86.607048
-0.306238,86.597664
-0.307238,86.607048
-0.308239,86.616448
-0.30924,86.62584
-0.310241,86.616448
-0.311241,86.63054
-0.312242,86.644632
-0.313243,86.63524
-0.314244,86.62584
-0.315245,86.63524
-0.316245,86.654024
-0.317246,86.663416
-0.318247,86.616448
-0.319248,86.644632
-0.320248,86.672808
-0.321249,86.654024
-0.32225,86.62584
-0.323251,86.654024
-0.324252,86.644632
-0.325252,86.663418
-0.326253,86.672808
-0.327254,86.682208
-0.328255,86.701
-0.329255,86.701
-0.330256,86.6916
-0.331257,86.682208
-0.332258,86.729184
-0.333259,86.776152
-0.334259,86.738568
-0.33526,86.747968
-0.336261,86.76676
-0.337262,86.77616
-0.338262,86.785544
-0.339263,86.722134
-0.340264,86.672808
-0.341265,86.654024
-0.342266,86.62584
-0.343266,86.644632
-0.344267,86.682208
-0.345268,86.6916
-0.346269,86.654024
-0.347269,86.691608
-0.34827,86.729184
-0.349271,86.719784
-0.35027200000000003,86.672808
-0.351273,86.719784
-0.352273,86.76676
-0.353274,86.738568
-0.354275,86.719784
-0.355276,86.747968
-0.356276,86.794944
-0.357277,86.785544
-0.358278,86.776152
-0.359279,86.804328
-0.36028,86.813728
-0.36128,86.851304
-0.362281,86.84192
-0.363282,86.851304
-0.364283,86.870088
-0.365283,86.870096
-0.366284,86.879488
-0.367285,86.90768
-0.368286,86.917064
-0.369287,86.945248
-0.370287,86.917064
-0.371288,86.945248
-0.372289,86.96404
-0.37329,86.97344
-0.37429,86.945248
-0.375291,86.97344
-0.376292,87.0298
-0.377293,87.020408
-0.378294,87.020408
-0.379294,87.048584
-0.380295,87.076768
-0.381296,87.10496
