Voltage [V],Current [uA]
-0.050038896,44.534192
-0.051039672,53.125384
-0.052040452,54.318472
-0.053041232,54.74122
-0.054042008,54.900924
-0.055042784,54.947892
-0.056043564,54.985472
-0.057044344,54.994868
-0.05804512,54.985472
-0.059045896,54.985472
-0.060046676,54.994868
-0.061047452,54.994868
-0.062048232,54.99017
-0.063049012,54.985472
-0.064049788,54.985472
-0.065050564,54.97608
-0.06605134,55.00426
-0.06705212,54.9385
-0.068052896,55.00426
-0.06905368,54.97608
-0.070054456,54.957292
-0.071055232,54.97608
-0.072056008,54.957292
-0.073056784,54.9385
-0.074057568,54.97608
-0.075058344,54.966688
-0.076059128,54.957292
-0.077059904,54.966688
-0.07806068,54.957292
-0.079061456,54.929108
-0.080062232,55.04184
-0.081063008,54.994868
-0.082063784,55.060628
-0.083064568,55.032448
-0.084065344,55.051232
-0.085066128,55.060628
-0.086066904,55.04184
-0.08706768,55.04184
-0.088068456,55.032448
-0.089069232,55.051232
-0.090070008,55.032448
-0.091070792,55.051232
-0.092071568,55.051232
-0.093072344,55.04184
-0.094073128,55.04184
-0.095073904,55.04184
-0.09607468,55.04184
-0.097075456,55.04184
-0.09807624,55.051232
-0.099077016,55.032448
-0.100077792,55.04184
-0.101078568,55.04184
-0.102079344,55.051232
-0.10308012,55.04184
-0.104080904,55.051232
-0.105081688,55.051232
-0.106082464,55.04184
-0.10708324,55.051232
-0.108084016,55.04184
-0.109084792,55.051232
-0.110085568,55.060628
-0.111086344,55.051232
-0.112087128,55.04184
-0.113087904,55.060628
-0.114088688,55.051232
-0.115089464,55.051232
-0.11609024,55.060628
-0.117091016,55.060628
-0.118091792,55.062977
-0.119092576,55.06121525
-0.120093352,55.060628
-0.121094128,55.060628
-0.122094904,55.060628
-0.12309568,55.060628
-0.124096464,55.060628
-0.125097248,55.079416
-0.126098024,55.07002
-0.1270988,55.088811
-0.128099576,55.098208
-0.129100352,55.1076
-0.130101128,55.044188
-0.131101904,55.00426
-0.13210268,54.966684
-0.133103464,54.994868
-0.13410424,55.013652
-0.135105,54.985472
-0.136105,55.00426
-0.137106,55.013656
-0.138107,55.00426
-0.139108,55.013656
-0.140108,55.023056
-0.141109,55.013656
-0.14211,54.994868
-0.143111,55.013656
-0.144112,55.004264
-0.145112,55.013656
-0.146113,55.023052
-0.147114,54.994868
-0.148115,55.00426
-0.149115,55.013656
-0.150116,55.023052
-0.151117,55.04184
-0.152118,55.032448
-0.153119,55.030099
-0.154119,55.02716375
-0.15512,55.023056
-0.156121,55.023052
-0.157122,55.037143
-0.158122,55.051232
-0.159123,55.051232
-0.160124,55.051232
-0.161125,55.051232
-0.162126,55.051232
-0.163126,55.04184
-0.164127,55.060628
-0.165128,55.051232
-0.166129,55.053581
-0.167129,55.051232
-0.16813,55.051232
-0.169131,55.051232
-0.170132,55.051232
-0.171133,55.060628
-0.172133,55.051232
-0.173134,55.067673
-0.174135,55.079416
-0.17513600000000001,55.079416
-0.176136,55.079416
-0.177137,55.051232
-0.178138,55.060628
-0.179139,55.088816
-0.18014,55.079416
-0.18114,55.098208
-0.182141,55.088816
-0.183142,55.079416
-0.184143,55.070024
-0.185143,55.1076
-0.186144,55.098208
-0.187145,55.1076
-0.188146,55.116996
-0.189147,55.114647
-0.190147,55.116996
-0.191148,55.116996
-0.192149,55.126388
-0.19315,55.098208
-0.19415,55.126392
-0.195151,55.116996
-0.196152,55.126388
-0.197153,55.135784
-0.198154,55.126388
-0.199154,55.126388
-0.200155,55.126388
-0.201156,55.135784
-0.202157,55.13578
-0.203157,55.154576
-0.204158,55.13578
-0.205159,55.154576
-0.20616,55.145176
-0.207161,55.154576
-0.208161,55.145176
-0.209162,55.17336
-0.210163,55.163968
-0.211164,55.17336
-0.212164,55.182756
-0.213165,55.17336
-0.214166,55.192152
-0.215167,55.192152
-0.216168,55.182756
-0.217168,55.192148
-0.218169,55.182756
-0.21917,55.192152
-0.220171,55.17336
-0.221171,55.21094
-0.222172,55.192148
-0.223173,55.192148
-0.224174,55.220336
-0.225175,55.201548
-0.226175,55.220336
-0.227176,55.229728
-0.228177,55.21094
-0.229178,55.220336
-0.230178,55.23912
-0.231179,55.220336
-0.23218,55.257912
-0.233181,55.267308
-0.234182,55.257912
-0.235182,55.257912
-0.236183,55.257912
-0.237184,55.257912
-0.238185,55.267308
-0.239185,55.2767
-0.240186,55.2767
-0.241187,55.2767
-0.242188,55.2767
-0.243189,55.2767
-0.244189,55.267308
-0.24519,55.286096
-0.246191,55.314276
-0.247192,55.295488
-0.248192,55.2767
-0.249193,55.314276
-0.250194,55.304884
-0.251195,55.314276
-0.252196,55.323672
-0.253196,55.323676
-0.254197,55.328371
-0.255198,55.333068
-0.256199,55.333068
-0.257199,55.340113
-0.2582,55.34246
-0.259201,55.351856
-0.260202,55.361252
-0.261203,55.370644
-0.262203,55.370644
-0.263204,55.370644
-0.264205,55.37064
-0.265206,55.37769
-0.266206,55.38004
-0.267207,55.389436
-0.268208,55.417616
-0.269209,55.398828
-0.27021,55.40822
-0.27121,55.417616
-0.272211,55.40822
-0.273212,55.40822
-0.274213,55.417616
-0.275213,55.436404
-0.276214,55.40822
-0.277215,55.436404
-0.278216,55.427008
-0.279217,55.443451
-0.280217,55.455196
-0.281218,55.455196
-0.282219,55.452847
-0.28322,55.4458
-0.28422,55.455196
-0.285221,55.436408
-0.286222,55.47398
-0.287223,55.464588
-0.288224,55.518606
-0.289224,55.558536
-0.290225,55.57732
-0.291226,55.586716
-0.292227,55.59376
-0.293227,55.605504
-0.294228,55.6055
-0.295229,55.624296
-0.29623,55.643084
-0.297231,55.633688
-0.298231,55.643083
-0.299232,55.643084
-0.300233,55.652476
-0.301234,55.652476
-0.302234,55.671264
-0.303235,55.643084
-0.304236,55.671264
-0.305237,55.680664
-0.306238,55.671264
-0.307238,55.708844
-0.308239,55.699448
-0.30924,55.727632
-0.310241,55.737024
-0.311241,55.727632
-0.312242,55.737024
-0.313243,55.746424
-0.314244,55.746424
-0.315245,55.755816
-0.316245,55.746424
-0.317246,55.783996
-0.318247,55.793392
-0.319248,55.802788
-0.320248,55.802784
-0.321249,55.812184
-0.32225,55.84976
-0.323251,55.859152
-0.324252,55.8662
-0.325252,55.877944
-0.326253,55.877944
-0.327254,55.906124
-0.328255,55.924916
-0.329255,55.924916
-0.330256,55.924916
-0.331257,55.934308
-0.332258,55.981284
-0.333259,55.990676
-0.334259,56.028248
-0.33526,56.037648
-0.336261,56.056436
-0.337262,56.065828
-0.338262,56.094016
-0.339263,56.047043
-0.340264,56.009468
-0.341265,56.01886
-0.342266,56.037648
-0.343266,56.037648
-0.344267,56.084616
-0.345268,56.103412
-0.346269,56.112804
-0.347269,56.136291
-0.34827,56.159776
-0.349271,56.169172
-0.35027200000000003,56.206744
-0.351273,56.197352
-0.352273,56.244324
-0.353274,56.263108
-0.354275,56.253716
-0.355276,56.310084
-0.356276,56.31948
-0.357277,56.357056
-0.358278,56.366452
-0.359279,56.413424
-0.36028,56.422816
-0.36128,56.451004
-0.362281,56.460392
-0.363282,56.488576
-0.364283,56.535552
-0.365283,56.544944
-0.366284,56.591916
-0.367285,56.620096
-0.368286,56.638892
-0.369287,56.667072
-0.370287,56.68586
-0.371288,56.75162
-0.372289,56.770412
-0.37329,56.770412
-0.37429,56.807984
-0.375291,56.85496
-0.376292,56.873752
-0.377293,56.89254
-0.378294,56.939512
-0.379294,56.967696
-0.380295,57.005272
-0.381296,57.014664
-0.382297,57.071032
-0.383297,57.099212
-0.384298,57.118004
-0.385299,57.146184
-0.3863,57.164976
-0.387301,57.19316
-0.388301,57.240132
-0.389302,57.25892
-0.390303,57.268312
-0.391304,57.32468
-0.392304,57.36226
-0.393305,57.371652
-0.394306,57.409232
-0.395307,57.4562
-0.396308,57.465596
-0.397308,57.512568
-0.398309,57.531356
-0.39931,57.568936
-0.400311,57.587728
-0.401311,57.606512
-0.402312,57.634696
-0.403313,57.653488
-0.404314,57.691064
-0.405315,57.738036
-0.406315,57.75682
-0.407316,57.75682
-0.408317,57.775616
-0.409318,57.822584
-0.410318,57.841376
-0.411319,57.869556
-0.41232,57.878952
-0.413321,57.888344
-0.414322,57.935312
-0.415322,57.954108
-0.416323,57.9635
-0.417324,57.982292
-0.418325,57.991688
-0.419325,57.982292
-0.420326,58.010476
-0.421327,58.019868
-0.422328,58.057448
-0.423329,58.057448
-0.424329,58.076236
-0.42533,58.05744
-0.426331,58.076236
-0.427332,58.10442
-0.428332,58.10442
-0.429333,58.10442
-0.430334,58.123208
-0.431335,58.1326
-0.432336,58.1326
-0.433336,58.141996
-0.434337,58.1326
-0.435338,58.123204
-0.436339,58.139645
-0.437339,58.151388
-0.43834,58.151388
-0.439341,58.144343
-0.440342,58.141996
-0.441343,58.1326
-0.442343,58.141996
-0.443344,58.151388
-0.444345,58.141996
-0.445346,58.113816
-0.446346,58.141996
-0.447347,58.123204
-0.448348,58.104416
-0.449349,58.076236
-0.45035,58.076236
-0.45135,58.085628
-0.452351,58.076236
-0.453352,58.066836
-0.454353,58.048052
-0.455353,58.038656
-0.456354,58.02926
-0.457355,58.02926
-0.458356,58.010472
-0.459357,57.99168
-0.460357,57.99168
-0.461358,57.935312
-0.462359,57.944712
-0.46336,57.916528
-0.46436,57.916528
-0.465361,57.878956
-0.466362,57.888348
-0.467363,57.860164
-0.468364,57.83198
-0.469364,57.803796
-0.470365,57.7944
-0.471366,57.766216
-0.472367,57.766216
-0.473367,57.747432
-0.474368,57.700452
-0.475369,57.681668
-0.47637,57.66288
-0.477371,57.644092
-0.478371,57.625304
-0.479372,57.59712
-0.480373,57.587728
-0.481374,57.55954
-0.482374,57.52196
-0.483375,57.53136
-0.484376,57.503172
-0.485377,57.484388
-0.486378,57.474988
-0.487378,57.437412
-0.488379,57.42802
-0.48938,57.437412
-0.490381,57.381048
-0.491381,57.352864
-0.492382,57.334072
-0.493383,57.315288
-0.494384,57.315288
-0.495385,57.268316
-0.496385,57.25892
-0.497386,57.32468
-0.498387,57.32468
-0.499388,57.305892
-0.500388,57.277712
-0.501389,57.2965
-0.50239,57.277708
-0.503391,57.240128
-0.504392,57.22134
-0.505392,57.211944
-0.506393,57.174368
-0.507394,57.183764
-0.508395,57.174368
-0.509395,57.15558
-0.510396,57.146184
-0.511397,57.108608
-0.512398,57.108612
-0.513399,57.099212
-0.514399,57.080424
-0.5154,57.06164
-0.516401,57.042848
-0.517402,57.024064
-0.518402,57.02406
-0.519403,57.033456
-0.520404,57.005272
-0.521405,56.986484
-0.522406,56.986484
-0.523406,56.948904
-0.524407,56.9583
-0.525408,56.939512
-0.526409,56.9583
-0.527409,56.92072
-0.52841,56.92072
-0.529411,56.939512
-0.530412,56.92072
-0.531413,56.901932
-0.532413,56.92072
-0.533414,56.883144
-0.534415,56.89254
-0.535416,56.873748
-0.536416,56.883144
-0.537417,56.85496
-0.538418,56.873752
-0.539419,56.85496
-0.54042,56.864356
-0.54142,56.85496
-0.542421,56.845564
-0.543422,56.843217
-0.544423,56.836172
-0.545423,56.836172
-0.546424,56.775108
-0.547425,56.714044
-0.548426,56.714044
-0.549427,56.716392
-0.550427,56.714631
-0.551428,56.714044
-0.552429,56.714044
-0.55343,56.714044
-0.55443,56.695256
-0.555431,56.695256
-0.556432,56.706998
-0.557433,56.723436
-0.558434,56.714044
-0.559434,56.704652
-0.560435,56.714044
-0.561436,56.704652
-0.562437,56.714044
-0.563437,56.704652
-0.564438,56.723436
-0.565439,56.714044
-0.56644,56.732836
-0.567441,56.714044
-0.568441,56.742224
-0.569442,56.704652
-0.570443,56.732832
-0.571444,56.723436
-0.572444,56.732836
-0.573445,56.751624
-0.574446,56.732836
-0.575447,56.742224
-0.576448,56.761016
-0.577448,56.742224
-0.578449,56.761016
-0.57945,56.751624
-0.580451,56.76102
-0.581451,56.770412
-0.582452,56.76102
-0.583453,56.779804
-0.584454,56.761016
-0.585455,56.779804
-0.586455,56.7892
-0.587456,56.779804
-0.588457,56.798596
-0.589458,56.807992
-0.590458,56.805642
-0.591459,56.807988
-0.59246,56.807992
-0.593461,56.817384
-0.594462,56.82678
-0.595462,56.82678
-0.596463,56.836172
-0.597464,56.817384
-0.598465,56.85496
-0.599465,56.845564
-0.600466,56.864356
-0.601467,56.85496
-0.602468,56.86436
-0.603469,56.883144
-0.604469,56.873748
-0.60547,56.883144
-0.606471,56.89254
-0.607472,56.89254
-0.608472,56.873752
-0.609473,56.89254
-0.610474,56.911328
-0.611475,56.901932
-0.612476,56.920724
-0.613476,56.92072
-0.614477,56.93012
-0.615478,56.939512
-0.616479,56.939512
-0.617479,56.948904
-0.61848,56.948904
-0.619481,56.9583
-0.620482,56.967692
-0.621483,56.9583
-0.622483,56.97004
-0.623484,56.977084
-0.624485,56.977084
-0.625486,56.99588
-0.626486,56.99588
-0.627487,57.000576
-0.628488,57.005272
-0.629489,57.005272
-0.63049,57.024064
-0.63149,57.052244
-0.632491,57.052244
-0.633492,57.052244
-0.634493,57.05929
-0.635493,57.071032
-0.636494,57.06164
-0.637495,57.071032
-0.638496,57.080424
-0.639497,57.080424
-0.640497,57.08982
-0.641498,57.108608
-0.642499,57.118004
-0.6435,57.099216
-0.6445,57.108608
-0.645501,57.08982
-0.646502,57.146188
-0.647503,57.1274
-0.648504,57.136792
-0.649504,57.155584
-0.650505,57.146188
-0.651506,57.164976
-0.652507,57.174368
-0.653507,57.19316
-0.654508,57.19316
-0.655509,57.202552
-0.65651,57.204902
-0.657511,57.211948
-0.658511,57.211948
-0.659512,57.223692
-0.660513,57.23074
-0.661514,57.240132
-0.662514,57.249524
-0.663515,57.249524
-0.664516,57.249524
-0.665517,57.268312
-0.666518,57.268316
-0.667518,57.27301
-0.668519,57.277708
-0.66952,57.277704
-0.670521,57.287104
-0.671521,57.2965
-0.672522,57.32468
-0.673523,57.305892
-0.674524,57.334072
-0.675525,57.334076
-0.676525,57.343472
-0.677526,57.352868
-0.678527,57.36226
-0.679528,57.352864
-0.680528,57.36226
-0.681529,57.36226
-0.68253,57.381048
-0.683531,57.390444
-0.684532,57.399832
-0.685532,57.409232
-0.686533,57.399836
-0.687534,57.42802
-0.688535,57.446808
-0.689535,57.446808
-0.690536,57.42802
-0.691537,57.437412
-0.692538,57.42802
-0.693539,57.42802
-0.694539,57.446808
-0.69554,57.4562
-0.696541,57.4656
-0.697542,57.456208
-0.698542,57.474992
-0.699543,57.484388
