Voltage [V],Current [uA]
-0.050038896,56.178564
-0.051039672,56.422816
-0.052040452,56.328872
-0.053041232,56.366452
-0.054042008,56.366452
-0.055042784,56.357056
-0.056043564,56.272512
-0.057044344,56.300692
-0.05804512,56.272508
-0.059045896,56.291296
-0.060046676,56.291296
-0.061047452,56.25372
-0.062048232,56.225536
-0.063049012,56.234932
-0.064049788,56.225532
-0.065050564,56.21379
-0.06605134,56.197348
-0.06705212,56.197348
-0.068052896,56.197348
-0.06905368,56.206748
-0.070054456,56.197352
-0.071055232,56.216144
-0.072056008,56.225536
-0.073056784,56.197352
-0.074057568,56.225536
-0.075058344,56.197352
-0.076059128,56.197348
-0.077059904,56.187956
-0.07806068,56.187956
-0.079061456,56.187956
-0.080062232,56.241975
-0.081063008,56.300692
-0.082063784,56.291296
-0.083064568,56.272508
-0.084065344,56.263116
-0.085066128,56.2819
-0.086066904,56.291296
-0.08706768,56.263108
-0.088068456,56.281904
-0.089069232,56.328872
-0.090070008,56.300692
-0.091070792,56.253716
-0.092071568,56.272508
-0.093072344,56.291296
-0.094073128,56.286599
-0.095073904,56.291296
-0.09607468,56.291296
-0.097075456,56.300692
-0.09807624,56.295994
-0.099077016,56.2995175
-0.100077792,56.300692
-0.101078568,56.300692
-0.102079344,56.281904
-0.10308012,56.291296
-0.104080904,56.310084
-0.105081688,56.281904
-0.106082464,56.328876
-0.10708324,56.310084
-0.108084016,56.272512
-0.109084792,56.291296
-0.110085568,56.300692
-0.111086344,56.310084
-0.112087128,56.291296
-0.113087904,56.300692
-0.114088688,56.310084
-0.115089464,56.300692
-0.11609024,56.300692
-0.117091016,56.281904
-0.118091792,56.300692
-0.119092576,56.272512
-0.120093352,56.31948
-0.121094128,56.291296
-0.122094904,56.2819
-0.12309568,56.300692
-0.124096464,56.291296
-0.125097248,56.244324
-0.126098024,56.244324
-0.1270988,56.263108
-0.128099576,56.300692
-0.129100352,56.31948
-0.130101128,56.249022
-0.131101904,56.197352
-0.13210268,56.178564
-0.133103464,56.15038
-0.13410424,56.18796
-0.135105,56.197348
-0.136105,56.206748
-0.137106,56.225536
-0.138107,56.206748
-0.139108,56.234932
-0.140108,56.21614
